season,player_name,birth_date,team,position,height_cm,weight_kg,spike_reach_cm,jersey_number,player_url
2009-2010,Alek Achrem,12.03.1983,Asseco Resovia Rzeszów,Przyjmujący,194,89,340,,https://www.plusliga.pl/players/id/74/tour/11.html
2009-2010,Kamil Długosz,20.03.1992,Asseco Resovia Rzeszów,Przyjmujący,200,97,347,,https://www.plusliga.pl/players/id/1028/tour/11.html
2009-2010,Bartosz Gawryszewski,22.08.1985,Asseco Resovia Rzeszów,Środkowy,202,89,248,,https://www.plusliga.pl/players/id/304/tour/11.html
2009-2010,Krzysztof Gierczyński,23.01.1976,Asseco Resovia Rzeszów,Przyjmujący,193,87,335,,https://www.plusliga.pl/players/id/1212/tour/11.html
2009-2010,Tomasz Głód,26.01.1992,Asseco Resovia Rzeszów,Libero,185,85,315,,https://www.plusliga.pl/players/id/2283/tour/11.html
2009-2010,Wojciech Grzyb,04.01.1981,Asseco Resovia Rzeszów,Środkowy,205,105,355,,https://www.plusliga.pl/players/id/2407/tour/11.html
2009-2010,Krzysztof Ignaczak,15.05.1978,Asseco Resovia Rzeszów,Libero,188,86,336,,https://www.plusliga.pl/players/id/1216/tour/11.html
2009-2010,Ivan Ilić,19.12.1976,Asseco Resovia Rzeszów,Rozgrywający,195,90,332,,https://www.plusliga.pl/players/id/751/tour/11.html
2009-2010,Grzegorz Kosok,02.03.1986,Asseco Resovia Rzeszów,Środkowy,205,95,350,,https://www.plusliga.pl/players/id/675/tour/11.html
2009-2010,Łukasz Kruk,11.05.1978,Asseco Resovia Rzeszów,Rozgrywający,188,90,335,,https://www.plusliga.pl/players/id/1287/tour/11.html
2009-2010,Tomasz Kusior,26.06.1987,Asseco Resovia Rzeszów,Środkowy,0,0,0,,https://www.plusliga.pl/players/id/2295/tour/11.html
2009-2010,Mateusz Mika,21.01.1991,Asseco Resovia Rzeszów,Przyjmujący,207,85,354,,https://www.plusliga.pl/players/id/1605/tour/11.html
2009-2010,Mikko Oivanen,26.05.1986,Asseco Resovia Rzeszów,Atakujący,198,92,360,,https://www.plusliga.pl/players/id/1733/tour/11.html
2009-2010,Paweł Papke,13.02.1977,Asseco Resovia Rzeszów,Atakujący,196,100,345,,https://www.plusliga.pl/players/id/1962/tour/11.html
2009-2010,Łukasz Perłowski,03.04.1984,Asseco Resovia Rzeszów,Środkowy,204,95,353,,https://www.plusliga.pl/players/id/1296/tour/11.html
2009-2010,Jakub Peszko,01.04.1992,Asseco Resovia Rzeszów,Przyjmujący,193,93,340,,https://www.plusliga.pl/players/id/824/tour/11.html
2009-2010,Rafael Redwitz,12.08.1980,Asseco Resovia Rzeszów,Rozgrywający,188,85,330,,https://www.plusliga.pl/players/id/2062/tour/11.html
2009-2010,Marcin Wika,09.11.1983,Asseco Resovia Rzeszów,Przyjmujący,194,97,340,,https://www.plusliga.pl/players/id/1471/tour/11.html
2009-2010,Krzysztof Andrzejewski,26.01.1983,AZS UWM Olsztyn,Libero,180,78,315,,https://www.plusliga.pl/players/id/1208/tour/11.html
2009-2010,Dawid Gunia,01.01.1987,AZS UWM Olsztyn,Środkowy,203,101,348,,https://www.plusliga.pl/players/id/471/tour/11.html
2009-2010,Marcelo Hargreaves,18.07.1981,AZS UWM Olsztyn,Środkowy,205,102,0,,https://www.plusliga.pl/players/id/1432/tour/11.html
2009-2010,Artur Jacyszyn,04.07.1988,AZS UWM Olsztyn,Przyjmujący,194,82,240,,https://www.plusliga.pl/players/id/245/tour/11.html
2009-2010,Tomasz Józefacki,05.05.1980,AZS UWM Olsztyn,Atakujący,192,81,341,,https://www.plusliga.pl/players/id/2284/tour/11.html
2009-2010,Tomasz Kowalczyk,15.03.1976,AZS UWM Olsztyn,Środkowy,203,95,348,,https://www.plusliga.pl/players/id/2289/tour/11.html
2009-2010,Maciej Kusaj,25.05.1988,AZS UWM Olsztyn,Rozgrywający,191,91,330,,https://www.plusliga.pl/players/id/1333/tour/11.html
2009-2010,Jakub Oczko,27.12.1981,AZS UWM Olsztyn,Rozgrywający,193,88,333,,https://www.plusliga.pl/players/id/822/tour/11.html
2009-2010,Anchieta Paulo Pinto Veloso,13.11.1976,AZS UWM Olsztyn,Przyjmujący,198,85,345,,https://www.plusliga.pl/players/id/166/tour/11.html
2009-2010,Paweł Siezieniewski,27.12.1981,AZS UWM Olsztyn,Przyjmujący,199,93,345,,https://www.plusliga.pl/players/id/1967/tour/11.html
2009-2010,Tomasz Stańczuk,01.09.1988,AZS UWM Olsztyn,Środkowy,203,88,345,,https://www.plusliga.pl/players/id/2307/tour/11.html
2009-2010,Tomasz Tomczyk,24.05.1986,AZS UWM Olsztyn,Przyjmujący,0,0,0,,https://www.plusliga.pl/players/id/2310/tour/11.html
2009-2010,Wojciech Winnik,05.10.1984,AZS UWM Olsztyn,Atakujący,194,90,335,,https://www.plusliga.pl/players/id/2427/tour/11.html
2009-2010,Michal Cerven,16.12.1977,Delecta Bydgoszcz,Środkowy,205,105,350,,https://www.plusliga.pl/players/id/1656/tour/11.html
2009-2010,Michał Dębiec,29.03.1984,Delecta Bydgoszcz,Libero,183,78,315,,https://www.plusliga.pl/players/id/1667/tour/11.html
2009-2010,Piotr Gruszka,08.03.1977,Delecta Bydgoszcz,Przyjmujący,206,109,354,,https://www.plusliga.pl/players/id/2001/tour/11.html
