season,player_name,birth_date,team,position,height_cm,weight_kg,spike_reach_cm,jersey_number,player_url
2005-2006,Michał Chadała,15.10.1977,BOT SKRA BEŁCHATÓW,,196,95,320,,https://www.plusliga.pl/players/id/1664/tour/6.html
2005-2006,Damian Dacewicz,28.09.1974,BOT SKRA BEŁCHATÓW,Środkowy,209,100,335,,https://www.plusliga.pl/players/id/403/tour/6.html
2005-2006,Maciej Dobrowolski,19.03.1977,BOT SKRA BEŁCHATÓW,,190,86,326,,https://www.plusliga.pl/players/id/1320/tour/6.html
2005-2006,Krzysztof Ignaczak,15.05.1978,BOT SKRA BEŁCHATÓW,,188,86,336,,https://www.plusliga.pl/players/id/1216/tour/6.html
2005-2006,Vitaliyi Kiktyev,05.11.1980,BOT SKRA BEŁCHATÓW,,207,100,332,,https://www.plusliga.pl/players/id/2352/tour/6.html
2005-2006,Paweł Maciejewicz,29.01.1980,BOT SKRA BEŁCHATÓW,,0,0,0,,https://www.plusliga.pl/players/id/1958/tour/6.html
2005-2006,Robert Milczarek,28.11.1983,BOT SKRA BEŁCHATÓW,,188,78,340,,https://www.plusliga.pl/players/id/2109/tour/6.html
2005-2006,Jarosław Sobczyński,15.09.1977,BOT SKRA BEŁCHATÓW,,203,97,330,,https://www.plusliga.pl/players/id/882/tour/6.html
2005-2006,Andrzej Stelmach,15.08.1972,BOT SKRA BEŁCHATÓW,,200,97,336,,https://www.plusliga.pl/players/id/181/tour/6.html
2005-2006,Krzysztof Stelmach,11.11.1967,BOT SKRA BEŁCHATÓW,,198,96,320,,https://www.plusliga.pl/players/id/1232/tour/6.html
2005-2006,Robert Szczerbaniuk,29.05.1977,BOT SKRA BEŁCHATÓW,,199,90,350,,https://www.plusliga.pl/players/id/2111/tour/6.html
2005-2006,Michał Winiarski,28.09.1983,BOT SKRA BEŁCHATÓW,,200,82,345,,https://www.plusliga.pl/players/id/1720/tour/6.html
2005-2006,Mariusz Wlazły,04.08.1983,BOT SKRA BEŁCHATÓW,,194,80,365,,https://www.plusliga.pl/players/id/1522/tour/6.html
2005-2006,Radosław Wnuk,25.09.1978,BOT SKRA BEŁCHATÓW,,207,104,345,,https://www.plusliga.pl/players/id/2057/tour/6.html
2005-2006,Brook Billings,30.04.1980,KS AZS CZĘSTOCHOWA SSA,,196,95,331,,https://www.plusliga.pl/players/id/370/tour/6.html
2005-2006,Phillip Eatherton,02.01.1974,KS AZS CZĘSTOCHOWA SSA,,207,101,335,,https://www.plusliga.pl/players/id/1989/tour/6.html
2005-2006,Piotr Gacek,16.09.1978,KS AZS CZĘSTOCHOWA SSA,,185,80,0,,https://www.plusliga.pl/players/id/2000/tour/6.html
2005-2006,Bartosz Gawryszewski,22.08.1985,KS AZS CZĘSTOCHOWA SSA,,202,89,248,,https://www.plusliga.pl/players/id/304/tour/6.html
2005-2006,Krzysztof Gierczyński,23.01.1976,KS AZS CZĘSTOCHOWA SSA,,193,87,335,,https://www.plusliga.pl/players/id/1212/tour/6.html
2005-2006,Wojciech Jurkiewicz,21.06.1977,KS AZS CZĘSTOCHOWA SSA,,205,100,350,,https://www.plusliga.pl/players/id/2408/tour/6.html
2005-2006,Marcin Kocik,07.05.1979,KS AZS CZĘSTOCHOWA SSA,,196,92,330,,https://www.plusliga.pl/players/id/1452/tour/6.html
2005-2006,David McKienzie,05.07.1979,KS AZS CZĘSTOCHOWA SSA,,195,95,313,,https://www.plusliga.pl/players/id/460/tour/6.html
2005-2006,Jakub Oczko,27.12.1981,KS AZS CZĘSTOCHOWA SSA,,193,88,333,,https://www.plusliga.pl/players/id/822/tour/6.html
2005-2006,Adrian Patucha,25.06.1983,KS AZS CZĘSTOCHOWA SSA,,196,96,345,,https://www.plusliga.pl/players/id/37/tour/6.html
2005-2006,Paweł Woicki,19.06.1983,KS AZS CZĘSTOCHOWA SSA,,182,84,315,,https://www.plusliga.pl/players/id/1974/tour/6.html
2005-2006,Rankingi,,KS GWARDIA WROCŁAW,,,,,,https://www.plusliga.pl/players/id/1943/tour/6.html
2005-2006,Marcin Ciesielski,09.07.1982,KS GWARDIA WROCŁAW,,195,84,315,,https://www.plusliga.pl/players/id/1436/tour/6.html
2005-2006,Mariusz Dutkiewicz,04.09.1975,KS GWARDIA WROCŁAW,,180,76,305,,https://www.plusliga.pl/players/id/1507/tour/6.html
2005-2006,Roman Gulczyński,22.01.1983,KS GWARDIA WROCŁAW,,194,90,320,,https://www.plusliga.pl/players/id/2123/tour/6.html
2005-2006,Rafał Jarząbski,06.04.1984,KS GWARDIA WROCŁAW,,201,91,320,,https://www.plusliga.pl/players/id/2071/tour/6.html
2005-2006,Michał Karauda,10.02.1986,KS GWARDIA WROCŁAW,,193,75,305,,https://www.plusliga.pl/players/id/1683/tour/6.html
2005-2006,Maciej Krupnik,11.12.1971,KS GWARDIA WROCŁAW,,196,90,320,,https://www.plusliga.pl/players/id/1330/tour/6.html
2005-2006,Jakub Markiewicz,15.07.1972,KS GWARDIA WROCŁAW,,206,104,330,,https://www.plusliga.pl/players/id/817/tour/6.html
2005-2006,Marcin Mierzejewski,04.01.1982,KS GWARDIA WROCŁAW,,0,0,0,,https://www.plusliga.pl/players/id/1462/tour/6.html
2005-2006,Paweł Nawrocki,08.01.1986,KS GWARDIA WROCŁAW,,197,87,315,,https://www.plusliga.pl/players/id/1961/tour/6.html
2005-2006,Piotr Poskrobko,07.07.1973,KS GWARDIA WROCŁAW,,194,88,316,,https://www.plusliga.pl/players/id/2017/tour/6.html
2005-2006,Wojciech Szczurowski,14.04.1976,KS GWARDIA WROCŁAW,,194,94,335,,https://www.plusliga.pl/players/id/2423/tour/6.html
2005-2006,Maciej Zając,06.01.1980,KS GWARDIA WROCŁAW,,206,104,327,,https://www.plusliga.pl/players/id/1353/tour/6.html
