season,player_name,birth_date,team,position,height_cm,weight_kg,spike_reach_cm,jersey_number,player_url
2019-2020,Krzysztof Andrzejewski,26.01.1983,Aluron Virtu CMC Zawiercie,Libero,180,78,315,,https://www.plusliga.pl/players/id/1208/tour/32.html
2019-2020,Grzegorz Bociek,06.06.1991,Aluron Virtu CMC Zawiercie,Atakujący,207,107,367,,https://www.plusliga.pl/players/id/666/tour/32.html
2019-2020,Patryk Czarnowski,01.11.1985,Aluron Virtu CMC Zawiercie,Środkowy,204,98,365,,https://www.plusliga.pl/players/id/1903/tour/32.html
2019-2020,Arshdeep Dosanjh,30.07.1996,Aluron Virtu CMC Zawiercie,Rozgrywający,204,95,358,,https://www.plusliga.pl/players/id/238/tour/32.html
2019-2020,Wojciech Ferens,05.04.1991,Aluron Virtu CMC Zawiercie,Przyjmujący,195,96,355,,https://www.plusliga.pl/players/id/2405/tour/32.html
2019-2020,Alexandre Ferreira,13.11.1991,Aluron Virtu CMC Zawiercie,Przyjmujący,200,88,352,,https://www.plusliga.pl/players/id/133/tour/32.html
2019-2020,Bartosz Gawryszewski,22.08.1985,Aluron Virtu CMC Zawiercie,Środkowy,202,89,248,,https://www.plusliga.pl/players/id/304/tour/32.html
2019-2020,Marcin Kania,14.02.1996,Aluron Virtu CMC Zawiercie,Środkowy,203,84,352,,https://www.plusliga.pl/players/id/1446/tour/32.html
2019-2020,Taichiro Koga,04.10.1989,Aluron Virtu CMC Zawiercie,Libero,170,70,292,,https://www.plusliga.pl/players/id/2248/tour/32.html
2019-2020,Piotr Lipiński,04.01.1979,Aluron Virtu CMC Zawiercie,Rozgrywający,195,91,330,,https://www.plusliga.pl/players/id/2008/tour/32.html
2019-2020,Mateusz Malinowski,06.05.1992,Aluron Virtu CMC Zawiercie,Atakujący,197,99,349,,https://www.plusliga.pl/players/id/1603/tour/32.html
2019-2020,Nikolay Penchev,22.05.1992,Aluron Virtu CMC Zawiercie,Przyjmujący,197,87,345,,https://www.plusliga.pl/players/id/1841/tour/32.html
2019-2020,Łukasz Swodczyk,01.06.1990,Aluron Virtu CMC Zawiercie,Środkowy,195,88,348,,https://www.plusliga.pl/players/id/1303/tour/32.html
2019-2020,Pieter Verhees,08.12.1989,Aluron Virtu CMC Zawiercie,Środkowy,205,110,355,,https://www.plusliga.pl/players/id/1992/tour/32.html
2019-2020,Marcin Waliński,24.10.1990,Aluron Virtu CMC Zawiercie,Przyjmujący,194,100,330,,https://www.plusliga.pl/players/id/1470/tour/32.html
2019-2020,Alek Achrem,12.03.1983,Asseco Resovia Rzeszów,Przyjmujący,194,89,340,,https://www.plusliga.pl/players/id/74/tour/32.html
2019-2020,Zbigniew Bartman,04.05.1987,Asseco Resovia Rzeszów,Atakujący,198,97,363,,https://www.plusliga.pl/players/id/2446/tour/32.html
2019-2020,Rafał Buszek,28.04.1987,Asseco Resovia Rzeszów,Przyjmujący,196,88,345,,https://www.plusliga.pl/players/id/2065/tour/32.html
2019-2020,Patryk Giża,16.10.2001,Asseco Resovia Rzeszów,Środkowy,201,82,337,,https://www.plusliga.pl/players/id/1906/tour/32.html
2019-2020,Nicholas Hoag,19.08.1992,Asseco Resovia Rzeszów,Przyjmujący,200,97,350,,https://www.plusliga.pl/players/id/1822/tour/32.html
2019-2020,Tomasz Kalembka,30.06.1991,Asseco Resovia Rzeszów,Środkowy,202,102,333,,https://www.plusliga.pl/players/id/2286/tour/32.html
2019-2020,Marcin Komenda,24.05.1996,Asseco Resovia Rzeszów,Rozgrywający,198,92,345,,https://www.plusliga.pl/players/id/1453/tour/32.html
2019-2020,Grzegorz Kosok,02.03.1986,Asseco Resovia Rzeszów,Środkowy,205,95,350,,https://www.plusliga.pl/players/id/675/tour/32.html
2019-2020,Michał Kowal,19.06.2001,Asseco Resovia Rzeszów,Przyjmujący,190,79,345,,https://www.plusliga.pl/players/id/1686/tour/32.html
2019-2020,Bartłomiej Krulicki,15.09.1993,Asseco Resovia Rzeszów,Środkowy,205,104,350,,https://www.plusliga.pl/players/id/278/tour/32.html
2019-2020,Sebastian Kwiatkowski,11.05.2001,Asseco Resovia Rzeszów,Atakujący,197,86,334,,https://www.plusliga.pl/players/id/2154/tour/32.html
2019-2020,Bartłomiej Lemański,19.03.1996,Asseco Resovia Rzeszów,Środkowy,217,105,365,,https://www.plusliga.pl/players/id/279/tour/32.html
2019-2020,Nicolas Marechal,04.03.1987,Asseco Resovia Rzeszów,Przyjmujący,198,94,335,,https://www.plusliga.pl/players/id/1824/tour/32.html
2019-2020,Bartosz Mariański,26.05.1992,Asseco Resovia Rzeszów,Libero,187,81,315,,https://www.plusliga.pl/players/id/318/tour/32.html
2019-2020,Marcin Możdżonek,09.02.1985,Asseco Resovia Rzeszów,Środkowy,211,104,360,,https://www.plusliga.pl/players/id/1463/tour/32.html
2019-2020,Luke Perry,20.11.1995,Asseco Resovia Rzeszów,Libero,182,75,335,,https://www.plusliga.pl/players/id/1275/tour/32.html
2019-2020,Tomas Rousseaux,31.03.1994,Asseco Resovia Rzeszów,Przyjmujący,199,90,360,,https://www.plusliga.pl/players/id/2274/tour/32.html
2019-2020,Damian Schulz,26.02.1990,Asseco Resovia Rzeszów,Atakujący,208,95,355,,https://www.plusliga.pl/players/id/413/tour/32.html
2019-2020,Kawika Shoji,11.11.1987,Asseco Resovia Rzeszów,Rozgrywający,190,79,330,,https://www.plusliga.pl/players/id/1143/tour/32.html
2019-2020,Mateusz Ściurka,12.07.2001,Asseco Resovia Rzeszów,Rozgrywający,182,76,314,,https://www.plusliga.pl/players/id/1622/tour/32.html
