season,player_name,birth_date,team,position,height_cm,weight_kg,spike_reach_cm,jersey_number,player_url
2021-2022,Maximiliano Cavanna,02.07.1988,Aluron CMC Warta Zawiercie,Rozgrywający,188,81,333,,https://www.plusliga.pl/players/id/1640/tour/38.html
2021-2022,Tomasz Chwazik,06.03.1989,Aluron CMC Warta Zawiercie,Przyjmujący,176,83,315,,https://www.plusliga.pl/players/id/2279/tour/38.html
2021-2022,Facundo Conte,25.08.1989,Aluron CMC Warta Zawiercie,Przyjmujący,197,98,355,,https://www.plusliga.pl/players/id/606/tour/38.html
2021-2022,Dominik Depowski,27.10.1995,Aluron CMC Warta Zawiercie,Przyjmujący,200,95,348,,https://www.plusliga.pl/players/id/514/tour/38.html
2021-2022,Dawid Konarski,31.08.1989,Aluron CMC Warta Zawiercie,Atakujący,198,101,355,,https://www.plusliga.pl/players/id/472/tour/38.html
2021-2022,Uros Kovacevic,06.05.1993,Aluron CMC Warta Zawiercie,Przyjmujący,197,90,340,,https://www.plusliga.pl/players/id/2328/tour/38.html
2021-2022,Bartosz Makoś,01.08.1998,Aluron CMC Warta Zawiercie,Libero,176,79,315,,https://www.plusliga.pl/players/id/316/tour/38.html
2021-2022,Mateusz Malinowski,06.05.1992,Aluron CMC Warta Zawiercie,Atakujący,197,99,349,,https://www.plusliga.pl/players/id/1603/tour/38.html
2021-2022,Patryk Niemiec,18.02.1997,Aluron CMC Warta Zawiercie,Środkowy,202,89,350,,https://www.plusliga.pl/players/id/1911/tour/38.html
2021-2022,Piotr Orczyk,19.03.1993,Aluron CMC Warta Zawiercie,Przyjmujący,190,98,337,,https://www.plusliga.pl/players/id/2015/tour/38.html
2021-2022,Wiktor Rajsner,13.04.1999,Aluron CMC Warta Zawiercie,Środkowy,205,98,355,,https://www.plusliga.pl/players/id/2387/tour/38.html
2021-2022,Michał Szalacha,15.01.1994,Aluron CMC Warta Zawiercie,Środkowy,202,97,355,,https://www.plusliga.pl/players/id/1713/tour/38.html
2021-2022,Miguel Tavares Rodrigues,02.03.1993,Aluron CMC Warta Zawiercie,Rozgrywający,192,70,315,,https://www.plusliga.pl/players/id/1728/tour/38.html
2021-2022,Miłosz Zniszczoł,02.07.1986,Aluron CMC Warta Zawiercie,Środkowy,201,100,345,,https://www.plusliga.pl/players/id/1760/tour/38.html
2021-2022,Michał Żurek,03.06.1988,Aluron CMC Warta Zawiercie,Libero,181,81,320,,https://www.plusliga.pl/players/id/1725/tour/38.html
2021-2022,Jakub Bucki,13.08.1988,Asseco Resovia Rzeszów,Atakujący,197,84,343,,https://www.plusliga.pl/players/id/780/tour/38.html
2021-2022,Rafał Buszek,28.04.1987,Asseco Resovia Rzeszów,Przyjmujący,196,88,345,,https://www.plusliga.pl/players/id/2065/tour/38.html
2021-2022,Klemen Čebulj,21.02.1992,Asseco Resovia Rzeszów,Przyjmujący,202,97,368,,https://www.plusliga.pl/players/id/1179/tour/38.html
2021-2022,Michał Curzytek,29.05.2003,Asseco Resovia Rzeszów,Przyjmujący,190,78,342,,https://www.plusliga.pl/players/id/1666/tour/38.html
2021-2022,Sam Deroo,24.04.1992,Asseco Resovia Rzeszów,Przyjmujący,203,92,360,,https://www.plusliga.pl/players/id/2136/tour/38.html
2021-2022,Fabian Drzyzga,03.01.1990,Asseco Resovia Rzeszów,Rozgrywający,196,95,343,,https://www.plusliga.pl/players/id/602/tour/38.html
2021-2022,Jakub Kochanowski,17.07.1997,Asseco Resovia Rzeszów,Środkowy,199,83,346,,https://www.plusliga.pl/players/id/803/tour/38.html
2021-2022,Oliwier Kowalik,21.05.2003,Asseco Resovia Rzeszów,Rozgrywający,186,75,327,,https://www.plusliga.pl/players/id/1879/tour/38.html
2021-2022,Jan Kozamernik,24.12.1995,Asseco Resovia Rzeszów,Środkowy,204,105,360,,https://www.plusliga.pl/players/id/861/tour/38.html
