season,player_name,birth_date,team,position,height_cm,weight_kg,spike_reach_cm,jersey_number,player_url
2020-2021,Krzysztof Andrzejewski,26.01.1983,,Libero,180,78,315,,https://www.plusliga.pl/players/id/1208/tour/35.html
2020-2021,Rankingi,,,,,,,,https://www.plusliga.pl/players/id/666/tour/35.html
2020-2021,Maximiliano Cavanna,02.07.1988,,Rozgrywający,188,81,333,,https://www.plusliga.pl/players/id/1640/tour/35.html
2020-2021,Patryk Czarnowski,01.11.1985,,Środkowy,204,98,365,,https://www.plusliga.pl/players/id/1903/tour/35.html
2020-2021,Gualberto Flavio,22.04.1993,,Środkowy,200,84,356,,https://www.plusliga.pl/players/id/690/tour/35.html
2020-2021,Gjorgi Gjorgiev,22.05.1992,,Rozgrywający,197,88,341,,https://www.plusliga.pl/players/id/659/tour/35.html
2020-2021,Paweł Halaba,14.12.1995,,Przyjmujący,195,84,346,,https://www.plusliga.pl/players/id/1954/tour/35.html
2020-2021,Marcin Kania,14.02.1996,,Środkowy,203,84,352,,https://www.plusliga.pl/players/id/1446/tour/35.html
2020-2021,Mateusz Malinowski,06.05.1992,,Atakujący,197,99,349,,https://www.plusliga.pl/players/id/1603/tour/35.html
2020-2021,Garrett Muagututia,26.02.1988,,Przyjmujący,196,92,359,,https://www.plusliga.pl/players/id/651/tour/35.html
2020-2021,Patryk Niemiec,18.02.1997,,Środkowy,202,89,350,,https://www.plusliga.pl/players/id/1911/tour/35.html
2020-2021,Piotr Orczyk,19.03.1993,,Przyjmujący,190,98,337,,https://www.plusliga.pl/players/id/2015/tour/35.html
2020-2021,Michał Żurek,03.06.1988,,Libero,181,81,320,,https://www.plusliga.pl/players/id/1725/tour/35.html
2020-2021,Rafał Buszek,28.04.1987,,Przyjmujący,196,88,345,,https://www.plusliga.pl/players/id/2065/tour/35.html
2020-2021,Karol Butryn,18.06.1993,,Atakujący,193,102,320,,https://www.plusliga.pl/players/id/1071/tour/35.html
2020-2021,Mikołaj Być,26.03.2002,,Atakujący,192,83,,,https://www.plusliga.pl/players/id/1734/tour/35.html
2020-2021,Klemen Čebulj,21.02.1992,,Przyjmujący,202,97,368,,https://www.plusliga.pl/players/id/1179/tour/35.html
2020-2021,Damian Domagała,23.04.1998,,Atakujący,199,89,350,,https://www.plusliga.pl/players/id/405/tour/35.html
2020-2021,Fabian Drzyzga,03.01.1990,,Rozgrywający,196,95,343,,https://www.plusliga.pl/players/id/602/tour/35.html
2020-2021,Piotr Hain,26.02.1991,,Środkowy,208,105,350,,https://www.plusliga.pl/players/id/2002/tour/35.html
2020-2021,Miłosz Iszczuk,18.02.2002,,Przyjmujący,1903,80,,,https://www.plusliga.pl/players/id/1757/tour/35.html
2020-2021,Jeffrey Jendryk,15.09.1995,,Środkowy,205,90,368,,https://www.plusliga.pl/players/id/890/tour/35.html
2020-2021,Bartłomiej Krulicki,15.09.1993,,Środkowy,205,104,350,,https://www.plusliga.pl/players/id/278/tour/35.html
2020-2021,Bartosz Mariański,26.05.1992,,Libero,187,81,315,,https://www.plusliga.pl/players/id/318/tour/35.html
2020-2021,Simone Parodi,16.06.1986,,Przyjmujący,195,93,345,,https://www.plusliga.pl/players/id/2181/tour/35.html
2020-2021,Michał Potera,06.03.1988,,Libero,183,79,310,,https://www.plusliga.pl/players/id/1707/tour/35.html
2020-2021,Mikołaj Słotarski,02.10.2002,,Rozgrywający,187,79,325,,https://www.plusliga.pl/players/id/1742/tour/35.html
2020-2021,Nicolas Szerszeń,31.12.1996,,Przyjmujący,195,96,343,,https://www.plusliga.pl/players/id/1826/tour/35.html
