season,player_name,birth_date,team,position,height_cm,weight_kg,spike_reach_cm,jersey_number,player_url
2011-2012,Alek Achrem,12.03.1983,Asseco Resovia Rzeszów,Przyjmujący,194,89,340,,https://www.plusliga.pl/players/id/74/tour/15.html
2011-2012,Marko Bojic,13.11.1988,Asseco Resovia Rzeszów,Przyjmujący,201,82,359,,https://www.plusliga.pl/players/id/1525/tour/15.html
2011-2012,Kamil Długosz,20.03.1992,Asseco Resovia Rzeszów,Przyjmujący,200,97,347,,https://www.plusliga.pl/players/id/1028/tour/15.html
2011-2012,Maciej Dobrowolski,19.03.1977,Asseco Resovia Rzeszów,Rozgrywający,190,86,326,,https://www.plusliga.pl/players/id/1320/tour/15.html
2011-2012,Dawid Dryja,21.07.1992,Asseco Resovia Rzeszów,Środkowy,201,96,355,,https://www.plusliga.pl/players/id/467/tour/15.html
2011-2012,Tomasz Głód,26.01.1992,Asseco Resovia Rzeszów,Libero,185,85,315,,https://www.plusliga.pl/players/id/2283/tour/15.html
2011-2012,Adrian Radu Gontariu,14.05.1984,Asseco Resovia Rzeszów,Atakujący,205,100,349,,https://www.plusliga.pl/players/id/44/tour/15.html
2011-2012,Gyorgy Grozer,27.11.1984,Asseco Resovia Rzeszów,Atakujący,200,102,374,,https://www.plusliga.pl/players/id/696/tour/15.html
2011-2012,Wojciech Grzyb,04.01.1981,Asseco Resovia Rzeszów,Środkowy,205,105,355,,https://www.plusliga.pl/players/id/2407/tour/15.html
2011-2012,Krzysztof Ignaczak,15.05.1978,Asseco Resovia Rzeszów,Libero,188,86,336,,https://www.plusliga.pl/players/id/1216/tour/15.html
2011-2012,Grzegorz Kosok,02.03.1986,Asseco Resovia Rzeszów,Środkowy,205,95,350,,https://www.plusliga.pl/players/id/675/tour/15.html
2011-2012,Tomasz Kowalski,12.06.1991,Asseco Resovia Rzeszów,Rozgrywający,204,97,340,,https://www.plusliga.pl/players/id/2290/tour/15.html
2011-2012,Paul Michael Lotman,03.11.1985,Asseco Resovia Rzeszów,Przyjmujący,200,99,345,,https://www.plusliga.pl/players/id/1922/tour/15.html
2011-2012,Mateusz Mika,21.01.1991,Asseco Resovia Rzeszów,Przyjmujący,207,85,354,,https://www.plusliga.pl/players/id/1605/tour/15.html
2011-2012,Piotr Nowakowski,18.12.1987,Asseco Resovia Rzeszów,Środkowy,205,101,360,,https://www.plusliga.pl/players/id/2014/tour/15.html
