season,player_name,birth_date,team,position,height_cm,weight_kg,spike_reach_cm,jersey_number,player_url
2017-2018,Krzysztof Andrzejewski,26.01.1983,Aluron Virtu Warta Zawiercie,Libero,180,78,315,,https://www.plusliga.pl/players/id/1208/tour/27.html
2017-2018,Grzegorz Bociek,06.06.1991,Aluron Virtu Warta Zawiercie,Atakujący,207,107,367,,https://www.plusliga.pl/players/id/666/tour/27.html
2017-2018,Hugo de Leon Guimaraes da Silva,04.07.1990,Aluron Virtu Warta Zawiercie,Przyjmujący,198,93,350,,https://www.plusliga.pl/players/id/718/tour/27.html
2017-2018,Kamil Długosz,20.03.1992,Aluron Virtu Warta Zawiercie,Przyjmujący,200,97,347,,https://www.plusliga.pl/players/id/1028/tour/27.html
2017-2018,Łukasz Kaczorowski,12.05.1988,Aluron Virtu Warta Zawiercie,Atakujący,195,98,320,,https://www.plusliga.pl/players/id/1281/tour/27.html
2017-2018,Taichiro Koga,04.10.1989,Aluron Virtu Warta Zawiercie,Libero,170,70,292,,https://www.plusliga.pl/players/id/2248/tour/27.html
2017-2018,Mariusz Marcyniak,05.03.1992,Aluron Virtu Warta Zawiercie,Środkowy,206,103,346,,https://www.plusliga.pl/players/id/1514/tour/27.html
2017-2018,Grzegorz Pająk,01.01.1987,Aluron Virtu Warta Zawiercie,Rozgrywający,196,94,349,,https://www.plusliga.pl/players/id/682/tour/27.html
2017-2018,Matej Patak,08.06.1990,Aluron Virtu Warta Zawiercie,Przyjmujący,197,88,353,,https://www.plusliga.pl/players/id/1578/tour/27.html
2017-2018,Kacper Popik,19.10.1992,Aluron Virtu Warta Zawiercie,Rozgrywający,191,91,331,,https://www.plusliga.pl/players/id/1008/tour/27.html
2017-2018,David Smith,15.05.1985,Aluron Virtu Warta Zawiercie,Środkowy,195,92,350,,https://www.plusliga.pl/players/id/462/tour/27.html
2017-2018,Łukasz Swodczyk,01.06.1990,Aluron Virtu Warta Zawiercie,Środkowy,195,88,348,,https://www.plusliga.pl/players/id/1303/tour/27.html
2017-2018,Maciej Zajder,31.01.1988,Aluron Virtu Warta Zawiercie,Środkowy,202,100,345,,https://www.plusliga.pl/players/id/1355/tour/27.html
2017-2018,Michał Żuk,04.07.1985,Aluron Virtu Warta Zawiercie,Przyjmujący,196,91,340,,https://www.plusliga.pl/players/id/1724/tour/27.html
2017-2018,Marcin Cebula,21.11.1999,Asseco Resovia Rzeszów,Rozgrywający,194,65,332,,https://www.plusliga.pl/players/id/1435/tour/27.html
2017-2018,Barthélémy Chinenyeze,28.02.1998,Asseco Resovia Rzeszów,Środkowy,204,83,360,,https://www.plusliga.pl/players/id/269/tour/27.html
2017-2018,Dominik Depowski,27.10.1995,Asseco Resovia Rzeszów,Przyjmujący,200,95,348,,https://www.plusliga.pl/players/id/514/tour/27.html
2017-2018,Dawid Dryja,21.07.1992,Asseco Resovia Rzeszów,Środkowy,201,96,355,,https://www.plusliga.pl/players/id/467/tour/27.html
2017-2018,Maciej Jakubek,04.06.1999,Asseco Resovia Rzeszów,Atakujący,199,80,354,,https://www.plusliga.pl/players/id/1324/tour/27.html
2017-2018,Jakub Jarosz,10.02.1987,Asseco Resovia Rzeszów,Atakujący,197,90,355,,https://www.plusliga.pl/players/id/798/tour/27.html
2017-2018,Michał Kędzierski,09.08.1994,Asseco Resovia Rzeszów,Rozgrywający,194,83,345,,https://www.plusliga.pl/players/id/1684/tour/27.html
2017-2018,Elviss Krastins,15.09.1994,Asseco Resovia Rzeszów,Przyjmujący,192,84,335,,https://www.plusliga.pl/players/id/564/tour/27.html
2017-2018,Bartłomiej Lemański,19.03.1996,Asseco Resovia Rzeszów,Środkowy,217,105,365,,https://www.plusliga.pl/players/id/279/tour/27.html
2017-2018,Mateusz Masłowski,13.06.1997,Asseco Resovia Rzeszów,Libero,185,80,333,,https://www.plusliga.pl/players/id/1604/tour/27.html
2017-2018,Marcin Możdżonek,09.02.1985,Asseco Resovia Rzeszów,Środkowy,211,104,360,,https://www.plusliga.pl/players/id/1463/tour/27.html
2017-2018,Mikołaj Olejnik,21.11.2000,Asseco Resovia Rzeszów,Przyjmujący,200,89,365,,https://www.plusliga.pl/players/id/1738/tour/27.html
2017-2018,Dominik Paszek,26.01.1999,Asseco Resovia Rzeszów,Przyjmujący,181,80,338,,https://www.plusliga.pl/players/id/521/tour/27.html
2017-2018,Łukasz Perłowski,03.04.1984,Asseco Resovia Rzeszów,Środkowy,204,95,353,,https://www.plusliga.pl/players/id/1296/tour/27.html
2017-2018,Thibault Rossard,28.08.1993,Asseco Resovia Rzeszów,Przyjmujący,194,85,350,,https://www.plusliga.pl/players/id/2261/tour/27.html
2017-2018,Paweł Rusek,21.01.1983,Asseco Resovia Rzeszów,Libero,183,76,315,,https://www.plusliga.pl/players/id/1966/tour/27.html
2017-2018,Jochen Schoeps,08.10.1983,Asseco Resovia Rzeszów,Atakujący,200,103,356,,https://www.plusliga.pl/players/id/930/tour/27.html
2017-2018,Aleksander Śliwka,24.05.1995,Asseco Resovia Rzeszów,Przyjmujący,196,90,352,,https://www.plusliga.pl/players/id/87/tour/27.html
2017-2018,Lukas Tichacek,12.01.1982,Asseco Resovia Rzeszów,Rozgrywający,193,95,335,,https://www.plusliga.pl/players/id/1273/tour/27.html
2017-2018,Jakub Bucki,13.08.1988,BBTS Bielsko-Biała,Atakujący,197,84,343,,https://www.plusliga.pl/players/id/780/tour/27.html
2017-2018,Bartosz Cedzyński,20.12.1990,BBTS Bielsko-Biała,Środkowy,211,103,350,,https://www.plusliga.pl/players/id/296/tour/27.html
2017-2018,Przemysław Czauderna,21.05.1992,BBTS Bielsko-Biała,Libero,183,83,305,,https://www.plusliga.pl/players/id/2033/tour/27.html
2017-2018,Mariusz Gaca,20.01.1984,BBTS Bielsko-Biała,Środkowy,200,96,342,,https://www.plusliga.pl/players/id/1509/tour/27.html
2017-2018,Dominik Jaglarski,20.06.1997,BBTS Bielsko-Biała,Libero,187,85,325,,https://www.plusliga.pl/players/id/515/tour/27.html
2017-2018,Bartosz Janeczek,12.07.1987,BBTS Bielsko-Biała,Przyjmujący,198,88,355,,https://www.plusliga.pl/players/id/306/tour/27.html
2017-2018,Oleg Krikun,20.04.1991,BBTS Bielsko-Biała,Atakujący,202,110,350,,https://www.plusliga.pl/players/id/1852/tour/27.html
2017-2018,Piotr Łukasik,11.07.1994,BBTS Bielsko-Biała,Przyjmujący,208,112,350,,https://www.plusliga.pl/players/id/2010/tour/27.html
2017-2018,Jarosław Macionczyk,22.01.1979,BBTS Bielsko-Biała,Rozgrywający,190,90,320,,https://www.plusliga.pl/players/id/880/tour/27.html
2017-2018,Kajetan Marek,06.01.1994,BBTS Bielsko-Biała,Libero,186,73,306,,https://www.plusliga.pl/players/id/1022/tour/27.html
2017-2018,Harrison Peacock,31.01.1991,BBTS Bielsko-Biała,Rozgrywający,195,0,0,,https://www.plusliga.pl/players/id/702/tour/27.html
2017-2018,Tomasz Piotrowski,02.09.1997,BBTS Bielsko-Biała,Przyjmujący,198,101,345,,https://www.plusliga.pl/players/id/2302/tour/27.html
2017-2018,Wojciech Siek,10.05.1994,BBTS Bielsko-Biała,Środkowy,205,101,355,,https://www.plusliga.pl/players/id/2420/tour/27.html
2017-2018,Maciej Skowroński,08.04.1995,BBTS Bielsko-Biała,Środkowy,202,90,345,,https://www.plusliga.pl/players/id/1347/tour/27.html
2017-2018,Viacheslav Tarasow,02.02.1988,BBTS Bielsko-Biała,Przyjmujący,200,100,355,,https://www.plusliga.pl/players/id/2346/tour/27.html
2017-2018,Dmytro Dolgopolov,01.01.1900,Cerrad Czarni Radom,Rozgrywający,0,0,0,,https://www.plusliga.pl/players/id/508/tour/27.html
2017-2018,Kamil Droszyński,28.01.1997,Cerrad Czarni Radom,Rozgrywający,190,86,337,,https://www.plusliga.pl/players/id/1029/tour/27.html
2017-2018,Michał Filip,31.08.1994,Cerrad Czarni Radom,Atakujący,197,100,345,,https://www.plusliga.pl/players/id/1668/tour/27.html
2017-2018,Tomasz Fornal,31.08.1997,Cerrad Czarni Radom,Przyjmujący,198,92,340,,https://www.plusliga.pl/players/id/2281/tour/27.html
2017-2018,Norbert Huber,14.08.1998,Cerrad Czarni Radom,Środkowy,207,97,352,,https://www.plusliga.pl/players/id/1848/tour/27.html
2017-2018,Kamil Kwasowski,13.09.1990,Cerrad Czarni Radom,Przyjmujący,199,85,345,,https://www.plusliga.pl/players/id/1039/tour/27.html
2017-2018,Michał Ostrowski,29.03.1990,Cerrad Czarni Radom,Środkowy,203,96,345,,https://www.plusliga.pl/players/id/1703/tour/27.html
2017-2018,Jakub Rybicki,01.11.1998,Cerrad Czarni Radom,Przyjmujący,196,84,350,,https://www.plusliga.pl/players/id/829/tour/27.html
2017-2018,Dmytro Teryomenko,01.02.1987,Cerrad Czarni Radom,Środkowy,200,96,345,,https://www.plusliga.pl/players/id/512/tour/27.html
2017-2018,Dejan Vincic,15.09.1986,Cerrad Czarni Radom,Rozgrywający,202,95,343,,https://www.plusliga.pl/players/id/492/tour/27.html
