season,player_name,birth_date,team,position,height_cm,weight_kg,spike_reach_cm,jersey_number,player_url
2007-2008,Piotr Gabrych,04.07.1972,ASSECO RESOVIA S.S.A.,,198,91,317,,https://www.plusliga.pl/players/id/1999/tour/8.html
2007-2008,Dawid Gunia,01.01.1987,ASSECO RESOVIA S.S.A.,,203,101,348,,https://www.plusliga.pl/players/id/471/tour/8.html
2007-2008,Ihosvany Hernandez,06.08.1972,ASSECO RESOVIA S.S.A.,,206,103,350,,https://www.plusliga.pl/players/id/740/tour/8.html
2007-2008,Krzysztof Ignaczak,15.05.1978,ASSECO RESOVIA S.S.A.,,188,86,336,,https://www.plusliga.pl/players/id/1216/tour/8.html
2007-2008,Ivan Ilić,19.12.1976,ASSECO RESOVIA S.S.A.,,195,90,332,,https://www.plusliga.pl/players/id/751/tour/8.html
2007-2008,Tomasz Józefacki,05.05.1980,ASSECO RESOVIA S.S.A.,,192,81,341,,https://www.plusliga.pl/players/id/2284/tour/8.html
2007-2008,Michał Kaczmarek,26.12.1984,ASSECO RESOVIA S.S.A.,,200,103,340,,https://www.plusliga.pl/players/id/1680/tour/8.html
2007-2008,Tomasz Kozłowski,16.02.1979,ASSECO RESOVIA S.S.A.,,192,91,312,,https://www.plusliga.pl/players/id/2292/tour/8.html
2007-2008,Tomasz Kusior,26.06.1987,ASSECO RESOVIA S.S.A.,,0,0,0,,https://www.plusliga.pl/players/id/2295/tour/8.html
2007-2008,Karel Kvasnićka,02.05.1976,ASSECO RESOVIA S.S.A.,,198,100,330,,https://www.plusliga.pl/players/id/1065/tour/8.html
2007-2008,Piotr Łuka,09.06.1980,ASSECO RESOVIA S.S.A.,,0,0,0,,https://www.plusliga.pl/players/id/2009/tour/8.html
2007-2008,Jakub Mach,09.05.1988,ASSECO RESOVIA S.S.A.,,196,91,327,,https://www.plusliga.pl/players/id/814/tour/8.html
2007-2008,Aleksander Mitrović,24.09.1982,ASSECO RESOVIA S.S.A.,,195,96,352,,https://www.plusliga.pl/players/id/84/tour/8.html
2007-2008,Paweł Papke,13.02.1977,ASSECO RESOVIA S.S.A.,,196,100,345,,https://www.plusliga.pl/players/id/1962/tour/8.html
2007-2008,Łukasz Perłowski,03.04.1984,ASSECO RESOVIA S.S.A.,,204,95,353,,https://www.plusliga.pl/players/id/1296/tour/8.html
2007-2008,Rankingi,,DELECTA BYDGOSZCZ,,,,,,https://www.plusliga.pl/players/id/1656/tour/8.html
2007-2008,Rankingi,,DELECTA BYDGOSZCZ,,,,,,https://www.plusliga.pl/players/id/1667/tour/8.html
2007-2008,Andrew Grant,24.04.1985,DELECTA BYDGOSZCZ,,207,98,329,,https://www.plusliga.pl/players/id/172/tour/8.html
2007-2008,Artur Hoffman,16.01.1977,DELECTA BYDGOSZCZ,,182,82,308,,https://www.plusliga.pl/players/id/244/tour/8.html
2007-2008,Krzysztof Janczak,12.11.1974,DELECTA BYDGOSZCZ,,202,97,353,,https://www.plusliga.pl/players/id/1217/tour/8.html
2007-2008,Kamil Kacprzak,20.03.1984,DELECTA BYDGOSZCZ,,196,95,352,,https://www.plusliga.pl/players/id/1035/tour/8.html
2007-2008,Waldemar Kaczmarek,02.04.1987,DELECTA BYDGOSZCZ,,196,85,340,,https://www.plusliga.pl/players/id/2363/tour/8.html
2007-2008,Marcin Kozioł,04.07.1983,DELECTA BYDGOSZCZ,,195,91,325,,https://www.plusliga.pl/players/id/1454/tour/8.html
2007-2008,Wojciech Kozłowski,25.06.1989,DELECTA BYDGOSZCZ,,195,84,340,,https://www.plusliga.pl/players/id/2411/tour/8.html
2007-2008,Rafał Matusiak,03.07.1980,DELECTA BYDGOSZCZ,,196,92,325,,https://www.plusliga.pl/players/id/2076/tour/8.html
2007-2008,Jakub Oczko,27.12.1981,DELECTA BYDGOSZCZ,,193,88,333,,https://www.plusliga.pl/players/id/822/tour/8.html
2007-2008,Łukasz Owczarz,29.03.1990,DELECTA BYDGOSZCZ,,195,88,346,,https://www.plusliga.pl/players/id/1295/tour/8.html
2007-2008,Martin Sopko,30.01.1982,DELECTA BYDGOSZCZ,,195,95,345,,https://www.plusliga.pl/players/id/1557/tour/8.html
2007-2008,Michał Stępień,31.01.1987,DELECTA BYDGOSZCZ,,200,102,327,,https://www.plusliga.pl/players/id/1711/tour/8.html
2007-2008,Jakub Bucki,13.08.1988,Jadar Sport S.A. Radom,,197,84,343,,https://www.plusliga.pl/players/id/780/tour/8.html
2007-2008,Bartosz Gawryszewski,22.08.1985,Jadar Sport S.A. Radom,,202,89,248,,https://www.plusliga.pl/players/id/304/tour/8.html
2007-2008,Marcin Kocik,07.05.1979,Jadar Sport S.A. Radom,,196,92,330,,https://www.plusliga.pl/players/id/1452/tour/8.html
2007-2008,Grzegorz Kokociński,18.09.1981,Jadar Sport S.A. Radom,,196,90,340,,https://www.plusliga.pl/players/id/672/tour/8.html
2007-2008,Marco Liefke,15.07.1974,Jadar Sport S.A. Radom,,208,117,333,,https://www.plusliga.pl/players/id/1475/tour/8.html
2007-2008,Piotr Lipiński,04.01.1979,Jadar Sport S.A. Radom,,195,91,330,,https://www.plusliga.pl/players/id/2008/tour/8.html
2007-2008,Jarosław Macionczyk,22.01.1979,Jadar Sport S.A. Radom,,190,90,320,,https://www.plusliga.pl/players/id/880/tour/8.html
2007-2008,Premysl Obdrzalek,12.03.1977,Jadar Sport S.A. Radom,,194,89,308,,https://www.plusliga.pl/players/id/2032/tour/8.html
2007-2008,Marcin Owczarski,07.06.1980,Jadar Sport S.A. Radom,,199,97,333,,https://www.plusliga.pl/players/id/1467/tour/8.html
2007-2008,Maciej Pawliński,02.02.1983,Jadar Sport S.A. Radom,,193,93,340,,https://www.plusliga.pl/players/id/1343/tour/8.html
2007-2008,Sebastian Pęcherz,12.12.1985,Jadar Sport S.A. Radom,,194,91,341,,https://www.plusliga.pl/players/id/2157/tour/8.html
2007-2008,Damian Słomka,22.11.1988,Jadar Sport S.A. Radom,,183,67,333,,https://www.plusliga.pl/players/id/414/tour/8.html
2007-2008,Wojciech Żaliński,08.01.1988,Jadar Sport S.A. Radom,,195,100,345,,https://www.plusliga.pl/players/id/2429/tour/8.html
2007-2008,Patryk Czarnowski,01.11.1985,JASTRZĘBSKI WĘGIEL,,204,98,365,,https://www.plusliga.pl/players/id/1903/tour/8.html
2007-2008,Rafael De Souza Lins,01.04.1983,JASTRZĘBSKI WĘGIEL,,193,87,338,,https://www.plusliga.pl/players/id/2061/tour/8.html
2007-2008,Mateusz Gorzewski,08.02.1987,JASTRZĘBSKI WĘGIEL,,196,82,315,,https://www.plusliga.pl/players/id/1587/tour/8.html
2007-2008,Evgeni Ivanov,03.06.1974,JASTRZĘBSKI WĘGIEL,,210,98,329,,https://www.plusliga.pl/players/id/581/tour/8.html
2007-2008,Nikolay Ivanov,14.06.1972,JASTRZĘBSKI WĘGIEL,,192,92,320,,https://www.plusliga.pl/players/id/1840/tour/8.html
2007-2008,Wojciech Jurkiewicz,21.06.1977,JASTRZĘBSKI WĘGIEL,,205,100,350,,https://www.plusliga.pl/players/id/2408/tour/8.html
2007-2008,Michał Kamiński,29.07.1997,JASTRZĘBSKI WĘGIEL,,210,117,359,,https://www.plusliga.pl/players/id/1682/tour/8.html
2007-2008,Grzegorz Łomacz,01.10.1987,JASTRZĘBSKI WĘGIEL,,187,81,336,,https://www.plusliga.pl/players/id/678/tour/8.html
2007-2008,Dawid Murek,24.07.1977,JASTRZĘBSKI WĘGIEL,,195,100,337,,https://www.plusliga.pl/players/id/476/tour/8.html
2007-2008,Robert Prygiel,17.04.1976,JASTRZĘBSKI WĘGIEL,,200,100,350,,https://www.plusliga.pl/players/id/2110/tour/8.html
2007-2008,Paweł Rusek,21.01.1983,JASTRZĘBSKI WĘGIEL,,183,76,315,,https://www.plusliga.pl/players/id/1966/tour/8.html
2007-2008,Igor Yudin,17.06.1987,JASTRZĘBSKI WĘGIEL,,198,80,343,,https://www.plusliga.pl/players/id/737/tour/8.html
