season,player_name,birth_date,team,position,height_cm,weight_kg,spike_reach_cm,jersey_number,player_url
2018-2019,Alek Achrem,12.03.1983,Aluron Virtu Warta Zawiercie,Przyjmujący,194,89,340,,https://www.plusliga.pl/players/id/74/tour/29.html
2018-2019,Krzysztof Andrzejewski,26.01.1983,Aluron Virtu Warta Zawiercie,Libero,180,78,315,,https://www.plusliga.pl/players/id/1208/tour/29.html
2018-2019,Grzegorz Bociek,06.06.1991,Aluron Virtu Warta Zawiercie,Atakujący,207,107,367,,https://www.plusliga.pl/players/id/666/tour/29.html
2018-2019,Arshdeep Dosanjh,30.07.1996,Aluron Virtu Warta Zawiercie,Rozgrywający,204,95,358,,https://www.plusliga.pl/players/id/238/tour/29.html
2018-2019,Alexandre Ferreira,13.11.1991,Aluron Virtu Warta Zawiercie,Przyjmujący,200,88,352,,https://www.plusliga.pl/players/id/133/tour/29.html
2018-2019,Bartosz Gawryszewski,22.08.1985,Aluron Virtu Warta Zawiercie,Środkowy,202,89,248,,https://www.plusliga.pl/players/id/304/tour/29.html
2018-2019,Marcin Kania,14.02.1996,Aluron Virtu Warta Zawiercie,Środkowy,203,84,352,,https://www.plusliga.pl/players/id/1446/tour/29.html
2018-2019,Taichiro Koga,04.10.1989,Aluron Virtu Warta Zawiercie,Libero,170,70,292,,https://www.plusliga.pl/players/id/2248/tour/29.html
2018-2019,Mateusz Malinowski,06.05.1992,Aluron Virtu Warta Zawiercie,Atakujący,197,99,349,,https://www.plusliga.pl/players/id/1603/tour/29.html
2018-2019,Michal Masny,14.08.1979,Aluron Virtu Warta Zawiercie,Rozgrywający,182,73,325,,https://www.plusliga.pl/players/id/1658/tour/29.html
2018-2019,Krzysztof Rejno,22.02.1993,Aluron Virtu Warta Zawiercie,Środkowy,203,83,350,,https://www.plusliga.pl/players/id/1229/tour/29.html
2018-2019,Kamil Semeniuk,16.07.1996,Aluron Virtu Warta Zawiercie,Przyjmujący,194,85,350,,https://www.plusliga.pl/players/id/1048/tour/29.html
2018-2019,Łukasz Swodczyk,01.06.1990,Aluron Virtu Warta Zawiercie,Środkowy,195,88,348,,https://www.plusliga.pl/players/id/1303/tour/29.html
2018-2019,Marcin Waliński,24.10.1990,Aluron Virtu Warta Zawiercie,Przyjmujący,194,100,330,,https://www.plusliga.pl/players/id/1470/tour/29.html
2018-2019,Michał Żuk,04.07.1985,Aluron Virtu Warta Zawiercie,Przyjmujący,196,91,340,,https://www.plusliga.pl/players/id/1724/tour/29.html
