season,player_name,birth_date,team,position,height_cm,weight_kg,spike_reach_cm,jersey_number,player_url
2003-2004,Zbigniew Bartman,04.05.1987,AZS POLITECHNIKA WARSZAWA,,198,97,363,,https://www.plusliga.pl/players/id/2446/tour/4.html
2003-2004,Marcin Drabkowski,06.11.1977,AZS POLITECHNIKA WARSZAWA,,184,90,312,,https://www.plusliga.pl/players/id/1437/tour/4.html
2003-2004,Adrian Dyżakowski,27.08.1976,AZS POLITECHNIKA WARSZAWA,,192,85,307,,https://www.plusliga.pl/players/id/29/tour/4.html
2003-2004,Sławomir Gołębski,16.06.1981,AZS POLITECHNIKA WARSZAWA,,201,97,321,,https://www.plusliga.pl/players/id/2188/tour/4.html
2003-2004,Krzysztof Grzesiowski,10.05.1981,AZS POLITECHNIKA WARSZAWA,,206,106,330,,https://www.plusliga.pl/players/id/1213/tour/4.html
2003-2004,Krzysztof Hajbowicz,27.07.1981,AZS POLITECHNIKA WARSZAWA,,193,105,321,,https://www.plusliga.pl/players/id/1215/tour/4.html
2003-2004,Konrad Małecki,06.01.1979,AZS POLITECHNIKA WARSZAWA,,200,94,345,,https://www.plusliga.pl/players/id/1189/tour/4.html
2003-2004,Maciej Oczko,26.02.1980,AZS POLITECHNIKA WARSZAWA,,198,96,320,,https://www.plusliga.pl/players/id/1338/tour/4.html
2003-2004,Michał Peciakowski,25.07.1981,AZS POLITECHNIKA WARSZAWA,,196,88,312,,https://www.plusliga.pl/players/id/1706/tour/4.html
2003-2004,Tomasz Rosa,05.03.1976,AZS POLITECHNIKA WARSZAWA,,198,102,320,,https://www.plusliga.pl/players/id/2305/tour/4.html
2003-2004,Bartosz Szcześniewski,15.05.1977,AZS POLITECHNIKA WARSZAWA,,202,100,325,,https://www.plusliga.pl/players/id/327/tour/4.html
2003-2004,Piotr Szulc,19.11.1976,AZS POLITECHNIKA WARSZAWA,,191,95,313,,https://www.plusliga.pl/players/id/2021/tour/4.html
2003-2004,Maciej Wołosz,29.01.1982,AZS POLITECHNIKA WARSZAWA,,198,98,335,,https://www.plusliga.pl/players/id/1351/tour/4.html
2003-2004,Andriej Barbierik,13.07.1978,BBTS SIATKARZ ORIGINAL BIELSKO-BIAŁA,,197,101,320,,https://www.plusliga.pl/players/id/174/tour/4.html
2003-2004,Jakub Bednaruk,09.09.1976,BBTS SIATKARZ ORIGINAL BIELSKO-BIAŁA,,188,95,320,,https://www.plusliga.pl/players/id/778/tour/4.html
2003-2004,Maciej Fijałek,07.08.1982,BBTS SIATKARZ ORIGINAL BIELSKO-BIAŁA,,186,85,315,,https://www.plusliga.pl/players/id/1322/tour/4.html
2003-2004,Wojciech Gradowski,14.11.1980,BBTS SIATKARZ ORIGINAL BIELSKO-BIAŁA,,191,91,335,,https://www.plusliga.pl/players/id/2406/tour/4.html
2003-2004,Rafał Kwasowski,10.02.1971,BBTS SIATKARZ ORIGINAL BIELSKO-BIAŁA,,195,88,330,,https://www.plusliga.pl/players/id/2072/tour/4.html
2003-2004,Rafał Marczuk,10.05.1973,BBTS SIATKARZ ORIGINAL BIELSKO-BIAŁA,,204,92,330,,https://www.plusliga.pl/players/id/2075/tour/4.html
2003-2004,Vladymir Prochazka,09.01.1973,BBTS SIATKARZ ORIGINAL BIELSKO-BIAŁA,,194,96,320,,https://www.plusliga.pl/players/id/2358/tour/4.html
2003-2004,Albert Semeniuk,31.05.1967,BBTS SIATKARZ ORIGINAL BIELSKO-BIAŁA,,198,88,322,,https://www.plusliga.pl/players/id/73/tour/4.html
2003-2004,Bartosz Węgrzyn,11.08.1984,BBTS SIATKARZ ORIGINAL BIELSKO-BIAŁA,,205,85,325,,https://www.plusliga.pl/players/id/331/tour/4.html
2003-2004,Zbigniew Żurek,12.01.1983,BBTS SIATKARZ ORIGINAL BIELSKO-BIAŁA,,190,84,320,,https://www.plusliga.pl/players/id/2450/tour/4.html
2003-2004,Artur Żyliński,14.05.1984,BBTS SIATKARZ ORIGINAL BIELSKO-BIAŁA,,197,87,324,,https://www.plusliga.pl/players/id/255/tour/4.html
2003-2004,Michał Bąkiewicz,22.03.1981,EKS SKRA BEŁCHATÓW,,197,93,339,,https://www.plusliga.pl/players/id/1661/tour/4.html
2003-2004,Krzysztof Ignaczak,15.05.1978,EKS SKRA BEŁCHATÓW,,188,86,336,,https://www.plusliga.pl/players/id/1216/tour/4.html
2003-2004,Tomass Kalninš,17.05.1977,EKS SKRA BEŁCHATÓW,,201,100,325,,https://www.plusliga.pl/players/id/2275/tour/4.html
2003-2004,Marcin Kocik,07.05.1979,EKS SKRA BEŁCHATÓW,,196,92,330,,https://www.plusliga.pl/players/id/1452/tour/4.html
2003-2004,Paweł Maciejewicz,29.01.1980,EKS SKRA BEŁCHATÓW,,0,0,0,,https://www.plusliga.pl/players/id/1958/tour/4.html
2003-2004,Robert Milczarek,28.11.1983,EKS SKRA BEŁCHATÓW,,188,78,340,,https://www.plusliga.pl/players/id/2109/tour/4.html
2003-2004,Bartłomiej Neroj,22.11.1984,EKS SKRA BEŁCHATÓW,,200,98,338,,https://www.plusliga.pl/players/id/283/tour/4.html
2003-2004,Adam Nowik,23.04.1975,EKS SKRA BEŁCHATÓW,,206,96,350,,https://www.plusliga.pl/players/id/15/tour/4.html
2003-2004,Michał Ruciak,22.08.1983,EKS SKRA BEŁCHATÓW,,190,82,336,,https://www.plusliga.pl/players/id/1709/tour/4.html
2003-2004,Tomasz Skalski,25.05.1973,EKS SKRA BEŁCHATÓW,,191,91,310,,https://www.plusliga.pl/players/id/2306/tour/4.html
2003-2004,Andrzej Stelmach,15.08.1972,EKS SKRA BEŁCHATÓW,,200,97,336,,https://www.plusliga.pl/players/id/181/tour/4.html
2003-2004,Dariusz Szulik,02.05.1983,EKS SKRA BEŁCHATÓW,,204,97,345,,https://www.plusliga.pl/players/id/457/tour/4.html
2003-2004,Mariusz Wlazły,04.08.1983,EKS SKRA BEŁCHATÓW,,194,80,365,,https://www.plusliga.pl/players/id/1522/tour/4.html
2003-2004,Radosław Wnuk,25.09.1978,EKS SKRA BEŁCHATÓW,,207,104,345,,https://www.plusliga.pl/players/id/2057/tour/4.html
2003-2004,Pavel Chudik,19.05.1974,IVETT JASTRZĘBIE BORYNIA,,190,80,310,,https://www.plusliga.pl/players/id/1943/tour/4.html
2003-2004,Piotr Gabrych,04.07.1972,IVETT JASTRZĘBIE BORYNIA,,198,91,317,,https://www.plusliga.pl/players/id/1999/tour/4.html
2003-2004,Michał Kaczmarek,26.12.1984,IVETT JASTRZĘBIE BORYNIA,,200,103,340,,https://www.plusliga.pl/players/id/1680/tour/4.html
2003-2004,Przemysław Michalczyk,19.01.1973,IVETT JASTRZĘBIE BORYNIA,,189,85,338,,https://www.plusliga.pl/players/id/2037/tour/4.html
2003-2004,Grzegorz Nowak,11.03.1975,IVETT JASTRZĘBIE BORYNIA,,200,86,324,,https://www.plusliga.pl/players/id/679/tour/4.html
2003-2004,Grzegorz Pilarz,12.02.1980,IVETT JASTRZĘBIE BORYNIA,,188,80,320,,https://www.plusliga.pl/players/id/684/tour/4.html
2003-2004,Radosław Rybak,25.03.1973,IVETT JASTRZĘBIE BORYNIA,,195,0,0,,https://www.plusliga.pl/players/id/2053/tour/4.html
2003-2004,Wojciech Serafin,20.06.1978,IVETT JASTRZĘBIE BORYNIA,,194,87,340,,https://www.plusliga.pl/players/id/2419/tour/4.html
2003-2004,Sławomir Szczygieł,02.06.1978,IVETT JASTRZĘBIE BORYNIA,,202,101,340,,https://www.plusliga.pl/players/id/2194/tour/4.html
2003-2004,Arkadiusz Terlecki,16.09.1980,IVETT JASTRZĘBIE BORYNIA,,201,94,337,,https://www.plusliga.pl/players/id/233/tour/4.html
2003-2004,Marcin Wika,09.11.1983,IVETT JASTRZĘBIE BORYNIA,,194,97,340,,https://www.plusliga.pl/players/id/1471/tour/4.html
2003-2004,Krzysztof Wójcik,20.10.1960,IVETT JASTRZĘBIE BORYNIA,Libero,181,80,318,,https://www.plusliga.pl/players/id/1236/tour/4.html
2003-2004,Damian Dacewicz,28.09.1974,KP - POLSKA ENERGIA SSA SOSNOWIEC,,209,100,335,,https://www.plusliga.pl/players/id/403/tour/4.html
2003-2004,Peter Diviś,04.08.1978,KP - POLSKA ENERGIA SSA SOSNOWIEC,,198,91,333,,https://www.plusliga.pl/players/id/1981/tour/4.html
2003-2004,Profil,,KP - POLSKA ENERGIA SSA SOSNOWIEC,,,,,,https://www.plusliga.pl/players/id/2104/tour/4.html
2003-2004,Sławomir Kudłaczewski,23.05.1972,KP - POLSKA ENERGIA SSA SOSNOWIEC,,194,95,315,,https://www.plusliga.pl/players/id/2191/tour/4.html
2003-2004,Rafał Legień,24.10.1969,KP - POLSKA ENERGIA SSA SOSNOWIEC,,190,86,300,,https://www.plusliga.pl/players/id/2073/tour/4.html
2003-2004,Rankingi,,KP - POLSKA ENERGIA SSA SOSNOWIEC,,,,,,https://www.plusliga.pl/players/id/813/tour/4.html
2003-2004,Krzysztof Niedziela,11.06.1978,KP - POLSKA ENERGIA SSA SOSNOWIEC,,194,87,320,,https://www.plusliga.pl/players/id/1225/tour/4.html
2003-2004,Marcin Nowak,17.10.1975,KP - POLSKA ENERGIA SSA SOSNOWIEC,,215,110,350,,https://www.plusliga.pl/players/id/1464/tour/4.html
2003-2004,Daniel Pliński,10.12.1978,KP - POLSKA ENERGIA SSA SOSNOWIEC,,204,100,330,,https://www.plusliga.pl/players/id/435/tour/4.html
2003-2004,Grzegorz Wagner,13.12.1965,KP - POLSKA ENERGIA SSA SOSNOWIEC,,182,84,305,,https://www.plusliga.pl/players/id/688/tour/4.html
2003-2004,Rankingi,,KP - POLSKA ENERGIA SSA SOSNOWIEC,,,,,,https://www.plusliga.pl/players/id/1313/tour/4.html
2003-2004,Marcin Ciesielski,09.07.1982,KS GWARDIA WROCŁAW,,195,84,315,,https://www.plusliga.pl/players/id/1436/tour/4.html
2003-2004,Mariusz Dutkiewicz,04.09.1975,KS GWARDIA WROCŁAW,,180,76,305,,https://www.plusliga.pl/players/id/1507/tour/4.html
2003-2004,Grzegorz Górnik,16.02.1982,KS GWARDIA WROCŁAW,,189,90,305,,https://www.plusliga.pl/players/id/669/tour/4.html
2003-2004,Roman Gulczyński,22.01.1983,KS GWARDIA WROCŁAW,,194,90,320,,https://www.plusliga.pl/players/id/2123/tour/4.html
2003-2004,Marcin Jarosz,07.08.1980,KS GWARDIA WROCŁAW,,195,82,315,,https://www.plusliga.pl/players/id/1444/tour/4.html
2003-2004,Rafał Jarząbski,06.04.1984,KS GWARDIA WROCŁAW,,201,91,320,,https://www.plusliga.pl/players/id/2071/tour/4.html
2003-2004,,,KS GWARDIA WROCŁAW,,,,,,https://www.plusliga.pl/players/id/2272/tour/4.html
2003-2004,Maciej Krupnik,11.12.1971,KS GWARDIA WROCŁAW,,196,90,320,,https://www.plusliga.pl/players/id/1330/tour/4.html
2003-2004,Wojciech Szczurowski,14.04.1976,KS GWARDIA WROCŁAW,,194,94,335,,https://www.plusliga.pl/players/id/2423/tour/4.html
2003-2004,Siergiy Zhyvolozhniy,15.05.1976,KS GWARDIA WROCŁAW,,198,88,320,,https://www.plusliga.pl/players/id/2176/tour/4.html
2003-2004,Szymon Żurawski,14.07.1976,KS GWARDIA WROCŁAW,,198,110,307,,https://www.plusliga.pl/players/id/2245/tour/4.html
2003-2004,Artur Augustyn,06.01.1983,MOSTOSTAL - AZOTY SSA KĘDZIERZYN-KOŹLE,,197,99,350,,https://www.plusliga.pl/players/id/241/tour/4.html
2003-2004,Michał Chadała,15.10.1977,MOSTOSTAL - AZOTY SSA KĘDZIERZYN-KOŹLE,,196,95,320,,https://www.plusliga.pl/players/id/1664/tour/4.html
2003-2004,Roland Dembończyk,12.08.1971,MOSTOSTAL - AZOTY SSA KĘDZIERZYN-KOŹLE,,196,98,320,,https://www.plusliga.pl/players/id/2120/tour/4.html
2003-2004,Aleksander Januszkiewicz,25.05.1979,MOSTOSTAL - AZOTY SSA KĘDZIERZYN-KOŹLE,,200,98,322,,https://www.plusliga.pl/players/id/82/tour/4.html
2003-2004,Marek Kardoš,25.04.1972,MOSTOSTAL - AZOTY SSA KĘDZIERZYN-KOŹLE,,186,80,312,,https://www.plusliga.pl/players/id/1480/tour/4.html
2003-2004,Dusan Kubica,12.12.1972,MOSTOSTAL - AZOTY SSA KĘDZIERZYN-KOŹLE,,188,84,300,,https://www.plusliga.pl/players/id/545/tour/4.html
2003-2004,Piotr Lipiński,04.01.1979,MOSTOSTAL - AZOTY SSA KĘDZIERZYN-KOŹLE,,195,91,330,,https://www.plusliga.pl/players/id/2008/tour/4.html
2003-2004,Rafał Musielak,22.08.1973,MOSTOSTAL - AZOTY SSA KĘDZIERZYN-KOŹLE,,193,87,314,,https://www.plusliga.pl/players/id/2077/tour/4.html
2003-2004,Jiri Popelka,11.05.1977,MOSTOSTAL - AZOTY SSA KĘDZIERZYN-KOŹLE,,204,98,352,,https://www.plusliga.pl/players/id/911/tour/4.html
2003-2004,Paweł Siezieniewski,27.12.1981,MOSTOSTAL - AZOTY SSA KĘDZIERZYN-KOŹLE,,199,93,345,,https://www.plusliga.pl/players/id/1967/tour/4.html
2003-2004,Bartłomiej Soroka,17.01.1979,MOSTOSTAL - AZOTY SSA KĘDZIERZYN-KOŹLE,,198,94,315,,https://www.plusliga.pl/players/id/287/tour/4.html
2003-2004,Jarosław Stancelewski,11.05.1974,MOSTOSTAL - AZOTY SSA KĘDZIERZYN-KOŹLE,,203,110,350,,https://www.plusliga.pl/players/id/883/tour/4.html
2003-2004,Robert Szczerbaniuk,29.05.1977,MOSTOSTAL - AZOTY SSA KĘDZIERZYN-KOŹLE,,199,90,350,,https://www.plusliga.pl/players/id/2111/tour/4.html
2003-2004,Piotr Gacek,16.09.1978,NKS NYSA,,185,80,0,,https://www.plusliga.pl/players/id/2000/tour/4.html
2003-2004,Michał Jaszewski,30.04.1979,NKS NYSA,,190,87,312,,https://www.plusliga.pl/players/id/1679/tour/4.html
2003-2004,Marcin Kasprzak,28.07.1980,NKS NYSA,,192,92,312,,https://www.plusliga.pl/players/id/1448/tour/4.html
2003-2004,Marek Kucharski,02.01.1977,NKS NYSA,,198,89,305,,https://www.plusliga.pl/players/id/1482/tour/4.html
2003-2004,Marcin Kudłacik,15.03.1981,NKS NYSA,,200,88,317,,https://www.plusliga.pl/players/id/1457/tour/4.html
2003-2004,Adam Kurek,20.04.1968,NKS NYSA,,196,94,315,,https://www.plusliga.pl/players/id/10/tour/4.html
2003-2004,Piotr Łuka,09.06.1980,NKS NYSA,,0,0,0,,https://www.plusliga.pl/players/id/2009/tour/4.html
2003-2004,Jarosław Macionczyk,22.01.1979,NKS NYSA,,190,90,320,,https://www.plusliga.pl/players/id/880/tour/4.html
2003-2004,Jakub Markiewicz,15.07.1972,NKS NYSA,,206,104,330,,https://www.plusliga.pl/players/id/817/tour/4.html
2003-2004,Arkadiusz Olejniczak,30.01.1984,NKS NYSA,,191,90,312,,https://www.plusliga.pl/players/id/231/tour/4.html
2003-2004,Adrian Patucha,25.06.1983,NKS NYSA,,196,96,345,,https://www.plusliga.pl/players/id/37/tour/4.html
2003-2004,Mariusz Syguła,28.12.1982,NKS NYSA,,190,86,310,,https://www.plusliga.pl/players/id/1518/tour/4.html
