season,player_name,birth_date,team,position,height_cm,weight_kg,spike_reach_cm,jersey_number,player_url
2006-2007,Tomasz Borczyński,28.01.1975,BKSCh Delecta Bydgoszcz,,186,86,310,,https://www.plusliga.pl/players/id/2278/tour/7.html
2006-2007,Andrew Grant,24.04.1985,BKSCh Delecta Bydgoszcz,,207,98,329,,https://www.plusliga.pl/players/id/172/tour/7.html
2006-2007,Artur Hoffman,16.01.1977,BKSCh Delecta Bydgoszcz,,182,82,308,,https://www.plusliga.pl/players/id/244/tour/7.html
2006-2007,Krzysztof Janczak,12.11.1974,BKSCh Delecta Bydgoszcz,,202,97,353,,https://www.plusliga.pl/players/id/1217/tour/7.html
2006-2007,Kamil Kacprzak,20.03.1984,BKSCh Delecta Bydgoszcz,,196,95,352,,https://www.plusliga.pl/players/id/1035/tour/7.html
2006-2007,Wojciech Kaźmierczak,11.06.1982,BKSCh Delecta Bydgoszcz,,198,96,333,,https://www.plusliga.pl/players/id/2409/tour/7.html
2006-2007,Tomasz Knasiecki,01.02.1979,BKSCh Delecta Bydgoszcz,,182,84,315,,https://www.plusliga.pl/players/id/2288/tour/7.html
2006-2007,Krzysztof Kocik,25.07.1979,BKSCh Delecta Bydgoszcz,,194,92,340,,https://www.plusliga.pl/players/id/1218/tour/7.html
2006-2007,Wojciech Kozłowski,25.06.1989,BKSCh Delecta Bydgoszcz,,195,84,340,,https://www.plusliga.pl/players/id/2411/tour/7.html
2006-2007,Rafał Kwasowski,10.02.1971,BKSCh Delecta Bydgoszcz,,195,88,330,,https://www.plusliga.pl/players/id/2072/tour/7.html
2006-2007,Rafał Matusiak,03.07.1980,BKSCh Delecta Bydgoszcz,,196,92,325,,https://www.plusliga.pl/players/id/2076/tour/7.html
2006-2007,Adam Nowik,23.04.1975,BKSCh Delecta Bydgoszcz,,206,96,350,,https://www.plusliga.pl/players/id/15/tour/7.html
2006-2007,Marcin Olichwer,05.03.1982,BKSCh Delecta Bydgoszcz,,196,98,320,,https://www.plusliga.pl/players/id/1466/tour/7.html
2006-2007,Stanisław Pieczonka,04.08.1979,BKSCh Delecta Bydgoszcz,,200,106,340,,https://www.plusliga.pl/players/id/2208/tour/7.html
2006-2007,Stanislav Vartovnik,23.02.1978,BKSCh Delecta Bydgoszcz,,196,86,317,,https://www.plusliga.pl/players/id/2205/tour/7.html
2006-2007,Michał Chadała,15.10.1977,BOT SKRA BEŁCHATÓW,Przyjmujący,196,95,320,,https://www.plusliga.pl/players/id/1664/tour/7.html
2006-2007,Maciej Dobrowolski,19.03.1977,BOT SKRA BEŁCHATÓW,,190,86,326,,https://www.plusliga.pl/players/id/1320/tour/7.html
2006-2007,Piotr Gruszka,08.03.1977,BOT SKRA BEŁCHATÓW,,206,109,354,,https://www.plusliga.pl/players/id/2001/tour/7.html
2006-2007,Janne Heikkinen,11.04.1976,BOT SKRA BEŁCHATÓW,,204,106,351,,https://www.plusliga.pl/players/id/874/tour/7.html
2006-2007,Krzysztof Ignaczak,15.05.1978,BOT SKRA BEŁCHATÓW,,188,86,336,,https://www.plusliga.pl/players/id/1216/tour/7.html
2006-2007,Evgeni Ivanov,03.06.1974,BOT SKRA BEŁCHATÓW,,210,98,329,,https://www.plusliga.pl/players/id/581/tour/7.html
2006-2007,Daniel Lewis,03.04.1976,BOT SKRA BEŁCHATÓW,,189,90,340,,https://www.plusliga.pl/players/id/429/tour/7.html
2006-2007,Paweł Maciejewicz,29.01.1980,BOT SKRA BEŁCHATÓW,,0,0,0,,https://www.plusliga.pl/players/id/1958/tour/7.html
2006-2007,Robert Milczarek,28.11.1983,BOT SKRA BEŁCHATÓW,,188,78,340,,https://www.plusliga.pl/players/id/2109/tour/7.html
2006-2007,Bartłomiej Neroj,22.11.1984,BOT SKRA BEŁCHATÓW,,200,98,338,,https://www.plusliga.pl/players/id/283/tour/7.html
2006-2007,Krzysztof Stelmach,11.11.1967,BOT SKRA BEŁCHATÓW,,198,96,320,,https://www.plusliga.pl/players/id/1232/tour/7.html
2006-2007,Mariusz Wlazły,04.08.1983,BOT SKRA BEŁCHATÓW,,194,80,365,,https://www.plusliga.pl/players/id/1522/tour/7.html
2006-2007,Radosław Wnuk,25.09.1978,BOT SKRA BEŁCHATÓW,,207,104,345,,https://www.plusliga.pl/players/id/2057/tour/7.html
2006-2007,Pavel Chudik,19.05.1974,J.W. CONSTRUCTION AZS POLITECHNIKA WARSZAWSKA,,190,80,310,,https://www.plusliga.pl/players/id/1943/tour/7.html
2006-2007,Marcin Drabkowski,06.11.1977,J.W. CONSTRUCTION AZS POLITECHNIKA WARSZAWSKA,,184,90,312,,https://www.plusliga.pl/players/id/1437/tour/7.html
2006-2007,Tomasz Drzyzga,09.10.1985,J.W. CONSTRUCTION AZS POLITECHNIKA WARSZAWSKA,,188,85,335,,https://www.plusliga.pl/players/id/2280/tour/7.html
2006-2007,Wojciech Jurkiewicz,21.06.1977,J.W. CONSTRUCTION AZS POLITECHNIKA WARSZAWSKA,,205,100,350,,https://www.plusliga.pl/players/id/2408/tour/7.html
2006-2007,Tomasz Kowalczyk,15.03.1976,J.W. CONSTRUCTION AZS POLITECHNIKA WARSZAWSKA,,203,95,348,,https://www.plusliga.pl/players/id/2289/tour/7.html
2006-2007,Anton Kulikovskiy,04.03.1982,J.W. CONSTRUCTION AZS POLITECHNIKA WARSZAWSKA,,198,88,322,,https://www.plusliga.pl/players/id/220/tour/7.html
2006-2007,Grzegorz Łomacz,01.10.1987,J.W. CONSTRUCTION AZS POLITECHNIKA WARSZAWSKA,,187,81,336,,https://www.plusliga.pl/players/id/678/tour/7.html
2006-2007,Radosław Maciejewicz,22.05.1976,J.W. CONSTRUCTION AZS POLITECHNIKA WARSZAWSKA,,188,87,306,,https://www.plusliga.pl/players/id/2048/tour/7.html
2006-2007,Marcin Malicki,04.04.1983,J.W. CONSTRUCTION AZS POLITECHNIKA WARSZAWSKA,,197,85,325,,https://www.plusliga.pl/players/id/1461/tour/7.html
2006-2007,Paweł Pietkiewicz,01.01.1986,J.W. CONSTRUCTION AZS POLITECHNIKA WARSZAWSKA,,190,0,332,,https://www.plusliga.pl/players/id/1963/tour/7.html
2006-2007,Radosław Rybak,25.03.1973,J.W. CONSTRUCTION AZS POLITECHNIKA WARSZAWSKA,,195,0,0,,https://www.plusliga.pl/players/id/2053/tour/7.html
2006-2007,Mark Siebeck,14.10.1975,J.W. CONSTRUCTION AZS POLITECHNIKA WARSZAWSKA,,195,90,318,,https://www.plusliga.pl/players/id/1524/tour/7.html
2006-2007,Piotr Szulc,19.11.1976,J.W. CONSTRUCTION AZS POLITECHNIKA WARSZAWSKA,,191,95,313,,https://www.plusliga.pl/players/id/2021/tour/7.html
2006-2007,Tomasz Wieczorek,08.05.1982,J.W. CONSTRUCTION AZS POLITECHNIKA WARSZAWSKA,,198,91,348,,https://www.plusliga.pl/players/id/2311/tour/7.html
2006-2007,Damian Wojtaszek,07.09.1988,J.W. CONSTRUCTION AZS POLITECHNIKA WARSZAWSKA,,180,79,330,,https://www.plusliga.pl/players/id/419/tour/7.html
2006-2007,Brook Billings,30.04.1980,KS AZS CZĘSTOCHOWA SSA,,196,95,331,,https://www.plusliga.pl/players/id/370/tour/7.html
2006-2007,Phillip Eatherton,02.01.1974,KS AZS CZĘSTOCHOWA SSA,,207,101,335,,https://www.plusliga.pl/players/id/1989/tour/7.html
2006-2007,Piotr Gacek,16.09.1978,KS AZS CZĘSTOCHOWA SSA,,185,80,0,,https://www.plusliga.pl/players/id/2000/tour/7.html
2006-2007,Bartosz Gawryszewski,22.08.1985,KS AZS CZĘSTOCHOWA SSA,,202,89,248,,https://www.plusliga.pl/players/id/304/tour/7.html
2006-2007,Krzysztof Gierczyński,23.01.1976,KS AZS CZĘSTOCHOWA SSA,,193,87,335,,https://www.plusliga.pl/players/id/1212/tour/7.html
2006-2007,Piotr Nowakowski,18.12.1987,KS AZS CZĘSTOCHOWA SSA,,205,101,360,,https://www.plusliga.pl/players/id/2014/tour/7.html
2006-2007,Adrian Patucha,25.06.1983,KS AZS CZĘSTOCHOWA SSA,,196,96,345,,https://www.plusliga.pl/players/id/37/tour/7.html
2006-2007,Riley Salmon,02.07.1976,KS AZS CZĘSTOCHOWA SSA,,197,89,320,,https://www.plusliga.pl/players/id/2099/tour/7.html
2006-2007,Andrzej Stelmach,15.08.1972,KS AZS CZĘSTOCHOWA SSA,,200,97,336,,https://www.plusliga.pl/players/id/181/tour/7.html
2006-2007,Robert Szczerbaniuk,29.05.1977,KS AZS CZĘSTOCHOWA SSA,,199,90,350,,https://www.plusliga.pl/players/id/2111/tour/7.html
2006-2007,Marcin Wika,09.11.1983,KS AZS CZĘSTOCHOWA SSA,,194,97,340,,https://www.plusliga.pl/players/id/1471/tour/7.html
2006-2007,Paweł Woicki,19.06.1983,KS AZS CZĘSTOCHOWA SSA,,182,84,315,,https://www.plusliga.pl/players/id/1974/tour/7.html
2006-2007,Michał Żuk,04.07.1985,KS AZS CZĘSTOCHOWA SSA,,196,91,340,,https://www.plusliga.pl/players/id/1724/tour/7.html
2006-2007,Marcin Ciesielski,09.07.1982,KS GWARDIA WROCŁAW,,195,84,315,,https://www.plusliga.pl/players/id/1436/tour/7.html
2006-2007,Mariusz Dutkiewicz,04.09.1975,KS GWARDIA WROCŁAW,,180,76,305,,https://www.plusliga.pl/players/id/1507/tour/7.html
