season,player_name,birth_date,team,position,height_cm,weight_kg,spike_reach_cm,jersey_number,player_url
2016-2017,Dawid Dryja,21.07.1992,Asseco Resovia Rzeszów,Środkowy,201,96,355,,https://www.plusliga.pl/players/id/467/tour/25.html
2016-2017,Fabian Drzyzga,03.01.1990,Asseco Resovia Rzeszów,Rozgrywający,196,95,343,,https://www.plusliga.pl/players/id/602/tour/25.html
2016-2017,Marko Ivovic,22.12.1990,Asseco Resovia Rzeszów,Przyjmujący,194,89,365,,https://www.plusliga.pl/players/id/1526/tour/25.html
2016-2017,Thomas Jaeschke,04.09.1993,Asseco Resovia Rzeszów,Przyjmujący,200,93,353,,https://www.plusliga.pl/players/id/2262/tour/25.html
2016-2017,Marcin Karakuła,23.12.1998,Asseco Resovia Rzeszów,Rozgrywający,189,83,332,,https://www.plusliga.pl/players/id/1447/tour/25.html
2016-2017,Bartłomiej Lemański,19.03.1996,Asseco Resovia Rzeszów,Środkowy,217,105,365,,https://www.plusliga.pl/players/id/279/tour/25.html
2016-2017,Michał Marszałek,17.04.1998,Asseco Resovia Rzeszów,Przyjmujący,191,90,345,,https://www.plusliga.pl/players/id/1697/tour/25.html
2016-2017,Mateusz Masłowski,13.06.1997,Asseco Resovia Rzeszów,Libero,185,80,333,,https://www.plusliga.pl/players/id/1604/tour/25.html
2016-2017,Marcin Możdżonek,09.02.1985,Asseco Resovia Rzeszów,Środkowy,211,104,360,,https://www.plusliga.pl/players/id/1463/tour/25.html
2016-2017,Piotr Nowakowski,18.12.1987,Asseco Resovia Rzeszów,Środkowy,205,101,360,,https://www.plusliga.pl/players/id/2014/tour/25.html
2016-2017,John Gordon Perrin,17.08.1989,Asseco Resovia Rzeszów,Przyjmujący,201,95,358,,https://www.plusliga.pl/players/id/932/tour/25.html
2016-2017,Thibault Rossard,28.08.1993,Asseco Resovia Rzeszów,Atakujący,194,85,350,,https://www.plusliga.pl/players/id/2261/tour/25.html
