season,player_name,birth_date,team,position,height_cm,weight_kg,spike_reach_cm,jersey_number,player_url
2008-2009,Bartosz Gawryszewski,22.08.1985,Asseco Resovia Rzeszów,Środkowy,202,89,248,,https://www.plusliga.pl/players/id/304/tour/9.html
2008-2009,Krzysztof Gierczyński,23.01.1976,Asseco Resovia Rzeszów,Przyjmujący,193,87,335,,https://www.plusliga.pl/players/id/1212/tour/9.html
2008-2009,Ihosvany Hernandez,06.08.1972,Asseco Resovia Rzeszów,Środkowy,206,103,350,,https://www.plusliga.pl/players/id/740/tour/9.html
2008-2009,Rankingi,,Asseco Resovia Rzeszów,,,,,,https://www.plusliga.pl/players/id/1216/tour/9.html
2008-2009,Ivan Ilić,19.12.1976,Asseco Resovia Rzeszów,Rozgrywający,195,90,332,,https://www.plusliga.pl/players/id/751/tour/9.html
2008-2009,Michał Kaczmarek,26.12.1984,Asseco Resovia Rzeszów,Środkowy,200,103,340,,https://www.plusliga.pl/players/id/1680/tour/9.html
2008-2009,Tomasz Kusior,26.06.1987,Asseco Resovia Rzeszów,Środkowy,0,0,0,,https://www.plusliga.pl/players/id/2295/tour/9.html
2008-2009,Piotr Łuka,09.06.1980,Asseco Resovia Rzeszów,Przyjmujący,0,0,0,,https://www.plusliga.pl/players/id/2009/tour/9.html
2008-2009,Jakub Mach,09.05.1988,Asseco Resovia Rzeszów,Przyjmujący,196,91,327,,https://www.plusliga.pl/players/id/814/tour/9.html
2008-2009,Aleksander Mitrović,24.09.1982,Asseco Resovia Rzeszów,Przyjmujący,195,96,352,,https://www.plusliga.pl/players/id/84/tour/9.html
2008-2009,Mikko Oivanen,26.05.1986,Asseco Resovia Rzeszów,Atakujący,198,92,360,,https://www.plusliga.pl/players/id/1733/tour/9.html
2008-2009,Paweł Papke,13.02.1977,Asseco Resovia Rzeszów,Atakujący,196,100,345,,https://www.plusliga.pl/players/id/1962/tour/9.html
2008-2009,Łukasz Perłowski,03.04.1984,Asseco Resovia Rzeszów,Środkowy,204,95,353,,https://www.plusliga.pl/players/id/1296/tour/9.html
2008-2009,Patryk Strzeżek,19.11.1989,Asseco Resovia Rzeszów,Atakujący,202,97,350,,https://www.plusliga.pl/players/id/1913/tour/9.html
2008-2009,Marcin Wika,09.11.1983,Asseco Resovia Rzeszów,Przyjmujący,194,97,340,,https://www.plusliga.pl/players/id/1471/tour/9.html
2008-2009,Paweł Woicki,19.06.1983,Asseco Resovia Rzeszów,Rozgrywający,182,84,315,,https://www.plusliga.pl/players/id/1974/tour/9.html
2008-2009,Rankingi,,Asseco Resovia Rzeszów,,,,,,https://www.plusliga.pl/players/id/1627/tour/9.html
2008-2009,Krzysztof Andrzejewski,26.01.1983,AZS UWM Olsztyn,Libero,180,78,315,,https://www.plusliga.pl/players/id/1208/tour/9.html
2008-2009,Michał Chaberek,20.03.1987,AZS UWM Olsztyn,Przyjmujący,194,90,340,,https://www.plusliga.pl/players/id/1663/tour/9.html
2008-2009,Wojciech Grzyb,04.01.1981,AZS UWM Olsztyn,Środkowy,205,105,355,,https://www.plusliga.pl/players/id/2407/tour/9.html
2008-2009,Artur Jacyszyn,04.07.1988,AZS UWM Olsztyn,Przyjmujący,194,82,240,,https://www.plusliga.pl/players/id/245/tour/9.html
2008-2009,Tomasz Józefacki,05.05.1980,AZS UWM Olsztyn,Atakujący,192,81,341,,https://www.plusliga.pl/players/id/2284/tour/9.html
2008-2009,Tomasz Kowalczyk,15.03.1976,AZS UWM Olsztyn,Środkowy,203,95,348,,https://www.plusliga.pl/players/id/2289/tour/9.html
2008-2009,Olli Kunnari,02.02.1982,AZS UWM Olsztyn,Przyjmujący,197,88,348,,https://www.plusliga.pl/players/id/1881/tour/9.html
2008-2009,Jakub Oczko,27.12.1981,AZS UWM Olsztyn,Rozgrywający,193,88,333,,https://www.plusliga.pl/players/id/822/tour/9.html
2008-2009,Paweł Siezieniewski,27.12.1981,AZS UWM Olsztyn,Przyjmujący,199,93,345,,https://www.plusliga.pl/players/id/1967/tour/9.html
2008-2009,Tomasz Stańczuk,01.09.1988,AZS UWM Olsztyn,Środkowy,203,88,345,,https://www.plusliga.pl/players/id/2307/tour/9.html
2008-2009,Łukasz Szablewski,05.10.1988,AZS UWM Olsztyn,Rozgrywający,204,98,335,,https://www.plusliga.pl/players/id/1304/tour/9.html
2008-2009,Grzegorz Szymański,12.07.1978,AZS UWM Olsztyn,Atakujący,202,94,345,,https://www.plusliga.pl/players/id/686/tour/9.html
2008-2009,Marek Wawrzyniak,15.01.1987,AZS UWM Olsztyn,Przyjmujący,196,92,340,,https://www.plusliga.pl/players/id/1486/tour/9.html
2008-2009,Paweł Zagumny,18.10.1977,AZS UWM Olsztyn,Rozgrywający,200,90,330,,https://www.plusliga.pl/players/id/1976/tour/9.html
2008-2009,Artur Augustyn,06.01.1983,Delecta Bydgoszcz,Środkowy,197,99,350,,https://www.plusliga.pl/players/id/241/tour/9.html
2008-2009,Mateusz Borucki,17.05.1989,Delecta Bydgoszcz,Środkowy,200,96,343,,https://www.plusliga.pl/players/id/1583/tour/9.html
2008-2009,Michal Cerven,16.12.1977,Delecta Bydgoszcz,Środkowy,205,105,350,,https://www.plusliga.pl/players/id/1656/tour/9.html
2008-2009,Michał Dębiec,29.03.1984,Delecta Bydgoszcz,Libero,183,78,315,,https://www.plusliga.pl/players/id/1667/tour/9.html
2008-2009,Krzysztof Janczak,12.11.1974,Delecta Bydgoszcz,Atakujący,202,97,353,,https://www.plusliga.pl/players/id/1217/tour/9.html
2008-2009,Waldemar Kaczmarek,02.04.1987,Delecta Bydgoszcz,Rozgrywający,196,85,340,,https://www.plusliga.pl/players/id/2363/tour/9.html
2008-2009,Grzegorz Kokociński,18.09.1981,Delecta Bydgoszcz,Środkowy,196,90,340,,https://www.plusliga.pl/players/id/672/tour/9.html
2008-2009,Dawid Konarski,31.08.1989,Delecta Bydgoszcz,Atakujący,198,101,355,,https://www.plusliga.pl/players/id/472/tour/9.html
2008-2009,Wojciech Kozłowski,25.06.1989,Delecta Bydgoszcz,Przyjmujący,195,84,340,,https://www.plusliga.pl/players/id/2411/tour/9.html
2008-2009,Piotr Lipiński,04.01.1979,Delecta Bydgoszcz,Rozgrywający,195,91,330,,https://www.plusliga.pl/players/id/2008/tour/9.html
2008-2009,Marcin Nowak,17.10.1975,Delecta Bydgoszcz,Środkowy,215,110,350,,https://www.plusliga.pl/players/id/1464/tour/9.html
2008-2009,Stanisław Pieczonka,04.08.1979,Delecta Bydgoszcz,Przyjmujący,200,106,340,,https://www.plusliga.pl/players/id/2208/tour/9.html
2008-2009,Martin Sopko,30.01.1982,Delecta Bydgoszcz,Przyjmujący,195,95,345,,https://www.plusliga.pl/players/id/1557/tour/9.html
2008-2009,Sebastian Tylicki,01.03.1989,Delecta Bydgoszcz,Przyjmujący,180,72,303,,https://www.plusliga.pl/players/id/2162/tour/9.html
2008-2009,Zbigniew Bartman,04.05.1987,Domex Tytan AZS Częstochowa,Przyjmujący,198,97,363,,https://www.plusliga.pl/players/id/2446/tour/9.html
2008-2009,Fabian Drzyzga,03.01.1990,Domex Tytan AZS Częstochowa,Rozgrywający,196,95,343,,https://www.plusliga.pl/players/id/602/tour/9.html
2008-2009,Wojciech Gradowski,14.11.1980,Domex Tytan AZS Częstochowa,Przyjmujący,191,91,335,,https://www.plusliga.pl/players/id/2406/tour/9.html
2008-2009,Dawid Gunia,01.01.1987,Domex Tytan AZS Częstochowa,Środkowy,203,101,348,,https://www.plusliga.pl/players/id/471/tour/9.html
2008-2009,Bartosz Janeczek,12.07.1987,Domex Tytan AZS Częstochowa,Atakujący,198,88,355,,https://www.plusliga.pl/players/id/306/tour/9.html
2008-2009,Przemysław Michalczyk,19.01.1973,Domex Tytan AZS Częstochowa,Przyjmujący,189,85,338,,https://www.plusliga.pl/players/id/2037/tour/9.html
