season,player_name,birth_date,team,position,height_cm,weight_kg,spike_reach_cm,jersey_number,player_url
2010-2011,Alek Achrem,12.03.1983,Asseco Resovia Rzeszów,Przyjmujący,194,89,340,,https://www.plusliga.pl/players/id/74/tour/13.html
2010-2011,Michele Baranowicz,05.08.1989,Asseco Resovia Rzeszów,Rozgrywający,196,90,340,,https://www.plusliga.pl/players/id/1727/tour/13.html
2010-2011,Rafał Buszek,28.04.1987,Asseco Resovia Rzeszów,Przyjmujący,196,88,345,,https://www.plusliga.pl/players/id/2065/tour/13.html
2010-2011,Matej Cernić,13.09.1978,Asseco Resovia Rzeszów,Przyjmujący,194,81,355,,https://www.plusliga.pl/players/id/1575/tour/13.html
2010-2011,Kamil Długosz,20.03.1992,Asseco Resovia Rzeszów,Przyjmujący,200,97,347,,https://www.plusliga.pl/players/id/1028/tour/13.html
2010-2011,Tomasz Głód,26.01.1992,Asseco Resovia Rzeszów,Libero,185,85,315,,https://www.plusliga.pl/players/id/2283/tour/13.html
2010-2011,Gyorgy Grozer,27.11.1984,Asseco Resovia Rzeszów,Atakujący,200,102,374,,https://www.plusliga.pl/players/id/696/tour/13.html
2010-2011,Wojciech Grzyb,04.01.1981,Asseco Resovia Rzeszów,Środkowy,205,105,355,,https://www.plusliga.pl/players/id/2407/tour/13.html
2010-2011,Krzysztof Ignaczak,15.05.1978,Asseco Resovia Rzeszów,Libero,188,86,336,,https://www.plusliga.pl/players/id/1216/tour/13.html
2010-2011,Ivan Ilić,19.12.1976,Asseco Resovia Rzeszów,Rozgrywający,195,90,332,,https://www.plusliga.pl/players/id/751/tour/13.html
2010-2011,Tomasz Józefacki,05.05.1980,Asseco Resovia Rzeszów,Atakujący,192,81,341,,https://www.plusliga.pl/players/id/2284/tour/13.html
2010-2011,Grzegorz Kosok,02.03.1986,Asseco Resovia Rzeszów,Środkowy,205,95,350,,https://www.plusliga.pl/players/id/675/tour/13.html
2010-2011,Tomasz Kowalski,12.06.1991,Asseco Resovia Rzeszów,Rozgrywający,204,97,340,,https://www.plusliga.pl/players/id/2290/tour/13.html
2010-2011,Mateusz Mika,21.01.1991,Asseco Resovia Rzeszów,Przyjmujący,207,85,354,,https://www.plusliga.pl/players/id/1605/tour/13.html
2010-2011,Ryan Millar,22.01.1978,Asseco Resovia Rzeszów,Środkowy,204,98,354,,https://www.plusliga.pl/players/id/2132/tour/13.html
2010-2011,Mateusz Nożewski,28.07.1991,Asseco Resovia Rzeszów,Środkowy,200,95,345,,https://www.plusliga.pl/players/id/1607/tour/13.html
2010-2011,Łukasz Perłowski,03.04.1984,Asseco Resovia Rzeszów,Środkowy,204,95,353,,https://www.plusliga.pl/players/id/1296/tour/13.html
2010-2011,Jakub Peszko,01.04.1992,Asseco Resovia Rzeszów,Przyjmujący,193,93,340,,https://www.plusliga.pl/players/id/824/tour/13.html
2010-2011,Zbigniew Bartman,04.05.1987,AZS Politechnika Warszawska,Przyjmujący,198,97,363,,https://www.plusliga.pl/players/id/2446/tour/13.html
2010-2011,Janusz Gałązka,26.04.1987,AZS Politechnika Warszawska,Środkowy,199,101,345,,https://www.plusliga.pl/players/id/876/tour/13.html
2010-2011,Ardo Kreek,07.08.1986,AZS Politechnika Warszawska,Środkowy,203,95,351,,https://www.plusliga.pl/players/id/225/tour/13.html
2010-2011,Michał Kubiak,23.02.1988,AZS Politechnika Warszawska,Przyjmujący,192,87,340,,https://www.plusliga.pl/players/id/1691/tour/13.html
2010-2011,Maikel Moreno Salas,24.04.1981,AZS Politechnika Warszawska,Rozgrywający,190,90,329,,https://www.plusliga.pl/players/id/1383/tour/13.html
2010-2011,Bartłomiej Neroj,22.11.1984,AZS Politechnika Warszawska,Rozgrywający,200,98,338,,https://www.plusliga.pl/players/id/283/tour/13.html
2010-2011,Marcin Nowak,17.10.1975,AZS Politechnika Warszawska,Środkowy,215,110,350,,https://www.plusliga.pl/players/id/1464/tour/13.html
2010-2011,Robert Prygiel,17.04.1976,AZS Politechnika Warszawska,Atakujący,200,100,350,,https://www.plusliga.pl/players/id/2110/tour/13.html
2010-2011,Oleksandr Statsenko,10.11.1983,AZS Politechnika Warszawska,Atakujący,200,92,345,,https://www.plusliga.pl/players/id/1857/tour/13.html
2010-2011,Dariusz Szulik,02.05.1983,AZS Politechnika Warszawska,Środkowy,204,97,345,,https://www.plusliga.pl/players/id/457/tour/13.html
2010-2011,Krzysztof Wierzbowski,18.07.1988,AZS Politechnika Warszawska,Przyjmujący,197,88,340,,https://www.plusliga.pl/players/id/1235/tour/13.html
2010-2011,Damian Wojtaszek,07.09.1988,AZS Politechnika Warszawska,Libero,180,79,330,,https://www.plusliga.pl/players/id/419/tour/13.html
2010-2011,Wojciech Żaliński,08.01.1988,AZS Politechnika Warszawska,Przyjmujący,195,100,345,,https://www.plusliga.pl/players/id/2429/tour/13.html
2010-2011,Krzysztof Andrzejewski,26.01.1983,Delecta Bydgoszcz,Libero,180,78,315,,https://www.plusliga.pl/players/id/1208/tour/13.html
2010-2011,Tomasz Bonisławski,22.01.1991,Delecta Bydgoszcz,Libero,188,92,315,,https://www.plusliga.pl/players/id/2277/tour/13.html
2010-2011,Michal Cerven,16.12.1977,Delecta Bydgoszcz,Środkowy,205,105,350,,https://www.plusliga.pl/players/id/1656/tour/13.html
2010-2011,Wojciech Jurkiewicz,21.06.1977,Delecta Bydgoszcz,Środkowy,205,100,350,,https://www.plusliga.pl/players/id/2408/tour/13.html
2010-2011,Dawid Konarski,31.08.1989,Delecta Bydgoszcz,Atakujący,198,101,355,,https://www.plusliga.pl/players/id/472/tour/13.html
2010-2011,Wojciech Kozłowski,25.06.1989,Delecta Bydgoszcz,Przyjmujący,195,84,340,,https://www.plusliga.pl/players/id/2411/tour/13.html
2010-2011,Piotr Lipiński,04.01.1979,Delecta Bydgoszcz,Rozgrywający,195,91,330,,https://www.plusliga.pl/players/id/2008/tour/13.html
2010-2011,Michal Masny,14.08.1979,Delecta Bydgoszcz,Rozgrywający,182,73,325,,https://www.plusliga.pl/players/id/1658/tour/13.html
2010-2011,Łukasz Owczarz,29.03.1990,Delecta Bydgoszcz,Atakujący,195,88,346,,https://www.plusliga.pl/players/id/1295/tour/13.html
2010-2011,Stanisław Pieczonka,04.08.1979,Delecta Bydgoszcz,Przyjmujący,200,106,340,,https://www.plusliga.pl/players/id/2208/tour/13.html
2010-2011,Wojciech Serafin,20.06.1978,Delecta Bydgoszcz,Przyjmujący,194,87,340,,https://www.plusliga.pl/players/id/2419/tour/13.html
2010-2011,Antti Siltala,14.03.1984,Delecta Bydgoszcz,Przyjmujący,192,92,328,,https://www.plusliga.pl/players/id/224/tour/13.html
2010-2011,Grzegorz Szymański,12.07.1978,Delecta Bydgoszcz,Atakujący,202,94,345,,https://www.plusliga.pl/players/id/686/tour/13.html
2010-2011,Sebastian Tylicki,01.03.1989,Delecta Bydgoszcz,Libero,180,72,303,,https://www.plusliga.pl/players/id/2162/tour/13.html
2010-2011,Marcin Waliński,24.10.1990,Delecta Bydgoszcz,Przyjmujący,194,100,330,,https://www.plusliga.pl/players/id/1470/tour/13.html
2010-2011,Andrzej Wrona,27.12.1988,Delecta Bydgoszcz,Środkowy,206,96,366,,https://www.plusliga.pl/players/id/183/tour/13.html
2010-2011,Kacper Bielicki,15.12.1985,Fart Kielce,Środkowy,200,93,340,,https://www.plusliga.pl/players/id/995/tour/13.html
2010-2011,Ludovic Castard,18.01.1983,Fart Kielce,Atakujący,0,0,0,,https://www.plusliga.pl/players/id/1270/tour/13.html
2010-2011,Maciej Dobrowolski,19.03.1977,Fart Kielce,Rozgrywający,190,86,326,,https://www.plusliga.pl/players/id/1320/tour/13.html
2010-2011,Tomasz Drzyzga,09.10.1985,Fart Kielce,Libero,188,85,335,,https://www.plusliga.pl/players/id/2280/tour/13.html
2010-2011,Sławomir Jungiewicz,21.06.1989,Fart Kielce,Atakujący,196,95,360,,https://www.plusliga.pl/players/id/2189/tour/13.html
2010-2011,Adam Kamiński,27.05.1984,Fart Kielce,Środkowy,204,90,355,,https://www.plusliga.pl/players/id/7/tour/13.html
2010-2011,Xavier Kapfer,07.11.1981,Fart Kielce,Przyjmujący,191,96,354,,https://www.plusliga.pl/players/id/2431/tour/13.html
2010-2011,Michał Kozłowski,16.02.1985,Fart Kielce,Rozgrywający,191,88,325,,https://www.plusliga.pl/players/id/1687/tour/13.html
2010-2011,Jan Król,23.08.1989,Fart Kielce,Atakujący,197,98,343,,https://www.plusliga.pl/players/id/862/tour/13.html
2010-2011,Richard Lambourne,06.05.1975,Fart Kielce,Libero,193,87,324,,https://www.plusliga.pl/players/id/2098/tour/13.html
2010-2011,Piotr Łuka,09.06.1980,Fart Kielce,Przyjmujący,0,0,0,,https://www.plusliga.pl/players/id/2009/tour/13.html
