season,player_name,birth_date,team,position,height_cm,weight_kg,spike_reach_cm,jersey_number,player_url
2001-2002,Dejan Brdović,21.02.1966,1044 - GWARDIA WROCŁAW,,197,93,325,,https://www.plusliga.pl/players/id/491/tour/2.html
2001-2002,Grzegorz Górnik,16.02.1982,1044 - GWARDIA WROCŁAW,,189,90,305,,https://www.plusliga.pl/players/id/669/tour/2.html
2001-2002,Krzysztof Janczak,12.11.1974,1044 - GWARDIA WROCŁAW,,202,97,353,,https://www.plusliga.pl/players/id/1217/tour/2.html
2001-2002,Marcin Jarosz,07.08.1980,1044 - GWARDIA WROCŁAW,,195,82,315,,https://www.plusliga.pl/players/id/1444/tour/2.html
2001-2002,Ireneusz Kłos,14.09.1959,1044 - GWARDIA WROCŁAW,,196,93,320,,https://www.plusliga.pl/players/id/746/tour/2.html
2001-2002,Adam Kurek,20.04.1968,1044 - GWARDIA WROCŁAW,,196,94,315,,https://www.plusliga.pl/players/id/10/tour/2.html
2001-2002,Rafał Kwasowski,10.02.1971,1044 - GWARDIA WROCŁAW,,195,88,330,,https://www.plusliga.pl/players/id/2072/tour/2.html
2001-2002,Przemysław Lach,16.04.1979,1044 - GWARDIA WROCŁAW,,198,87,320,,https://www.plusliga.pl/players/id/2036/tour/2.html
2001-2002,Jakub Markiewicz,15.07.1972,1044 - GWARDIA WROCŁAW,,206,104,330,,https://www.plusliga.pl/players/id/817/tour/2.html
2001-2002,Pavel Reźnicek,22.04.1971,1044 - GWARDIA WROCŁAW,,199,97,322,,https://www.plusliga.pl/players/id/1944/tour/2.html
2001-2002,Albert Semeniuk,31.05.1967,1044 - GWARDIA WROCŁAW,,198,88,322,,https://www.plusliga.pl/players/id/73/tour/2.html
2001-2002,Dariusz Stanicki,01.08.2019,1044 - GWARDIA WROCŁAW,,189,0,0,,https://www.plusliga.pl/players/id/456/tour/2.html
2001-2002,Michał Uliński,18.05.1982,1044 - GWARDIA WROCŁAW,,199,89,330,,https://www.plusliga.pl/players/id/1718/tour/2.html
2001-2002,Igor Woronin,23.07.1974,1044 - GWARDIA WROCŁAW,,192,87,307,,https://www.plusliga.pl/players/id/735/tour/2.html
2001-2002,Maciej Bartodziejski,15.10.1973,EKS SKRA BEŁCHATÓW,,189,90,318,,https://www.plusliga.pl/players/id/1315/tour/2.html
2001-2002,Jakub Bednaruk,09.09.1976,EKS SKRA BEŁCHATÓW,,188,95,320,,https://www.plusliga.pl/players/id/778/tour/2.html
2001-2002,Sergiej Beliański,28.12.1972,EKS SKRA BEŁCHATÓW,,202,105,315,,https://www.plusliga.pl/players/id/2164/tour/2.html
2001-2002,Leszek Czerlonek,16.03.1969,EKS SKRA BEŁCHATÓW,,191,85,312,,https://www.plusliga.pl/players/id/1251/tour/2.html
2001-2002,Sławomir Kudłaczewski,23.05.1972,EKS SKRA BEŁCHATÓW,,194,95,315,,https://www.plusliga.pl/players/id/2191/tour/2.html
2001-2002,Paweł Maciejewicz,29.01.1980,EKS SKRA BEŁCHATÓW,,0,0,0,,https://www.plusliga.pl/players/id/1958/tour/2.html
