season,player_name,birth_date,team,position,height_cm,weight_kg,spike_reach_cm,jersey_number,player_url
2002-2003,Maciej Bartodziejski,15.10.1973,EKS SKRA BEŁCHATÓW,,189,90,318,,https://www.plusliga.pl/players/id/1315/tour/3.html
2002-2003,Jakub Bednaruk,09.09.1976,EKS SKRA BEŁCHATÓW,,188,95,320,,https://www.plusliga.pl/players/id/778/tour/3.html
2002-2003,Sergiej Beliański,28.12.1972,EKS SKRA BEŁCHATÓW,,202,105,315,,https://www.plusliga.pl/players/id/2164/tour/3.html
2002-2003,Leszek Czerlonek,16.03.1969,EKS SKRA BEŁCHATÓW,,191,85,312,,https://www.plusliga.pl/players/id/1251/tour/3.html
2002-2003,Marcin Kocik,07.05.1979,EKS SKRA BEŁCHATÓW,,196,92,330,,https://www.plusliga.pl/players/id/1452/tour/3.html
2002-2003,Sławomir Kudłaczewski,23.05.1972,EKS SKRA BEŁCHATÓW,,194,95,315,,https://www.plusliga.pl/players/id/2191/tour/3.html
2002-2003,Paweł Maciejewicz,29.01.1980,EKS SKRA BEŁCHATÓW,,0,0,0,,https://www.plusliga.pl/players/id/1958/tour/3.html
2002-2003,Bartłomiej Neroj,22.11.1984,EKS SKRA BEŁCHATÓW,,200,98,338,,https://www.plusliga.pl/players/id/283/tour/3.html
2002-2003,Adam Nowik,23.04.1975,EKS SKRA BEŁCHATÓW,,206,96,350,,https://www.plusliga.pl/players/id/15/tour/3.html
2002-2003,Robert Prygiel,17.04.1976,EKS SKRA BEŁCHATÓW,,200,100,350,,https://www.plusliga.pl/players/id/2110/tour/3.html
2002-2003,Tomasz Skalski,25.05.1973,EKS SKRA BEŁCHATÓW,,191,91,310,,https://www.plusliga.pl/players/id/2306/tour/3.html
2002-2003,Piotr Szulc,19.11.1976,EKS SKRA BEŁCHATÓW,,191,95,313,,https://www.plusliga.pl/players/id/2021/tour/3.html
2002-2003,Radosław Wnuk,25.09.1978,EKS SKRA BEŁCHATÓW,,207,104,345,,https://www.plusliga.pl/players/id/2057/tour/3.html
2002-2003,Łukasz Żygadło,02.08.1979,EKS SKRA BEŁCHATÓW,,201,90,360,,https://www.plusliga.pl/players/id/1313/tour/3.html
2002-2003,Michał Bąkiewicz,22.03.1981,GALAXIA PAMAPOL KAFFEE AZS CZĘSTOCHOWA,,197,93,339,,https://www.plusliga.pl/players/id/1661/tour/3.html
