season,player_name,birth_date,team,position,height_cm,weight_kg,spike_reach_cm,jersey_number,player_url
2022-2023,Santiago Danani,12.12.1995,Aluron CMC Warta Zawiercie,Libero,176,77,,,https://www.plusliga.pl/players/id/2145/tour/41.html
2022-2023,Dawid Dulski,01.11.2002,Aluron CMC Warta Zawiercie,Atakujący,210,103,370,,https://www.plusliga.pl/players/id/468/tour/41.html
2022-2023,Tomasz Kalembka,30.06.1991,Aluron CMC Warta Zawiercie,Środkowy,202,102,333,,https://www.plusliga.pl/players/id/2286/tour/41.html
2022-2023,Dawid Konarski,31.08.1989,Aluron CMC Warta Zawiercie,Atakujący,198,101,355,,https://www.plusliga.pl/players/id/472/tour/41.html
2022-2023,Uros Kovacevic,06.05.1993,Aluron CMC Warta Zawiercie,Przyjmujący,197,90,340,,https://www.plusliga.pl/players/id/2328/tour/41.html
2022-2023,Michał Kozłowski,16.02.1985,Aluron CMC Warta Zawiercie,Rozgrywający,191,88,325,,https://www.plusliga.pl/players/id/1687/tour/41.html
2022-2023,Bartosz Kwolek,17.07.1997,Aluron CMC Warta Zawiercie,Przyjmujący,193,90,343,,https://www.plusliga.pl/players/id/314/tour/41.html
2022-2023,Patryk Łaba,30.07.1991,Aluron CMC Warta Zawiercie,Przyjmujący,188,90,350,,https://www.plusliga.pl/players/id/1908/tour/41.html
2022-2023,Bartosz Makoś,01.08.1998,Aluron CMC Warta Zawiercie,Libero,176,79,315,,https://www.plusliga.pl/players/id/316/tour/41.html
2022-2023,Wiktor Rajsner,13.04.1999,Aluron CMC Warta Zawiercie,Środkowy,205,98,355,,https://www.plusliga.pl/players/id/2387/tour/41.html
2022-2023,Krzysztof Rejno,22.02.1993,Aluron CMC Warta Zawiercie,Środkowy,203,83,350,,https://www.plusliga.pl/players/id/1229/tour/41.html
2022-2023,Michał Szalacha,15.01.1994,Aluron CMC Warta Zawiercie,Środkowy,202,97,355,,https://www.plusliga.pl/players/id/1713/tour/41.html
