season,player_name,birth_date,team,position,height_cm,weight_kg,spike_reach_cm,jersey_number,player_url
2024-2025,Mateusz Bieniek,05.04.1994,Aluron CMC Warta Zawiercie,Środkowy,208,98,351,,https://www.plusliga.pl/players/id/1579/tour/47.html
2024-2025,Karol Butryn,18.06.1993,Aluron CMC Warta Zawiercie,Atakujący,193,102,320,,https://www.plusliga.pl/players/id/1071/tour/47.html
2024-2025,Kyle Ensing,06.03.1997,Aluron CMC Warta Zawiercie,Atakujący,201,100,366,,https://www.plusliga.pl/players/id/2533/tour/47.html
2024-2025,Jurij Gladyr,08.07.1984,Aluron CMC Warta Zawiercie,Środkowy,202,96,360,,https://www.plusliga.pl/players/id/982/tour/47.html
2024-2025,Szymon Gregorowicz,07.03.1994,Aluron CMC Warta Zawiercie,Libero,183,77,325,,https://www.plusliga.pl/players/id/2231/tour/47.html
2024-2025,Gyorgy Grozer,27.11.1984,Aluron CMC Warta Zawiercie,Atakujący,200,102,374,,https://www.plusliga.pl/players/id/696/tour/47.html
2024-2025,Bartosz Kwolek,17.07.1997,Aluron CMC Warta Zawiercie,Przyjmujący,193,90,343,,https://www.plusliga.pl/players/id/314/tour/47.html
2024-2025,Patryk Łaba,30.07.1991,Aluron CMC Warta Zawiercie,Przyjmujący,188,90,350,,https://www.plusliga.pl/players/id/1908/tour/47.html
2024-2025,Adrian Markiewicz,12.04.2002,Aluron CMC Warta Zawiercie,Środkowy,213,115,360,,https://www.plusliga.pl/players/id/35/tour/47.html
2024-2025,Mobin Nasri,07.01.2003,Aluron CMC Warta Zawiercie,Przyjmujący,202,90,370,,https://www.plusliga.pl/players/id/2541/tour/47.html
2024-2025,Jakub Nowosielski,11.02.1993,Aluron CMC Warta Zawiercie,Rozgrywający,193,86,330,,https://www.plusliga.pl/players/id/821/tour/47.html
2024-2025,Luke Perry,20.11.1995,Aluron CMC Warta Zawiercie,Libero,182,75,335,,https://www.plusliga.pl/players/id/1275/tour/47.html
2024-2025,Wiktor Rajsner,13.04.1999,Aluron CMC Warta Zawiercie,Środkowy,205,98,355,,https://www.plusliga.pl/players/id/2387/tour/47.html
2024-2025,Aaron Russell,04.06.1993,Aluron CMC Warta Zawiercie,Przyjmujący,205,95,356,,https://www.plusliga.pl/players/id/2532/tour/47.html
2024-2025,Miguel Tavares Rodrigues,02.03.1993,Aluron CMC Warta Zawiercie,Rozgrywający,192,70,315,,https://www.plusliga.pl/players/id/1728/tour/47.html
2024-2025,Miłosz Zniszczoł,02.07.1986,Aluron CMC Warta Zawiercie,Środkowy,201,100,345,,https://www.plusliga.pl/players/id/1760/tour/47.html
2024-2025,Bartosz Bednorz,25.07.1994,Asseco Resovia Rzeszów,Przyjmujący,201,93,360,,https://www.plusliga.pl/players/id/293/tour/47.html
2024-2025,Stéphen Boyer,10.04.1996,Asseco Resovia Rzeszów,Atakujący,196,90,355,,https://www.plusliga.pl/players/id/2216/tour/47.html
2024-2025,Jakub Bucki,13.08.1988,Asseco Resovia Rzeszów,Atakujący,197,84,343,,https://www.plusliga.pl/players/id/780/tour/47.html
2024-2025,Klemen Čebulj,21.02.1992,Asseco Resovia Rzeszów,Przyjmujący,202,97,368,,https://www.plusliga.pl/players/id/1179/tour/47.html
2024-2025,Kacper Grendysa,30.01.2006,Asseco Resovia Rzeszów,Przyjmujący,190,81,337,,https://www.plusliga.pl/players/id/2700/tour/47.html
2024-2025,Karol Kłos,08.08.1989,Asseco Resovia Rzeszów,Środkowy,201,87,360,,https://www.plusliga.pl/players/id/1078/tour/47.html
2024-2025,Łukasz Kozub,03.11.1997,Asseco Resovia Rzeszów,Rozgrywający,186,86,320,,https://www.plusliga.pl/players/id/1285/tour/47.html
2024-2025,Patryk Niemiec,18.02.1997,Asseco Resovia Rzeszów,Środkowy,202,89,350,,https://www.plusliga.pl/players/id/1911/tour/47.html
2024-2025,Dawid Ogórek,30.07.1990,Asseco Resovia Rzeszów,Libero,184,80,343,,https://www.plusliga.pl/players/id/478/tour/47.html
2024-2025,Michał Potera,06.03.1988,Asseco Resovia Rzeszów,Libero,183,79,310,,https://www.plusliga.pl/players/id/1707/tour/47.html
2024-2025,Krzysztof Rejno,22.02.1993,Asseco Resovia Rzeszów,Środkowy,203,83,350,,https://www.plusliga.pl/players/id/1229/tour/47.html
2024-2025,Gregor Ropret,01.03.1989,Asseco Resovia Rzeszów,Rozgrywający,192,91,343,,https://www.plusliga.pl/players/id/2529/tour/47.html
2024-2025,Cezary Sapiński,28.09.1994,Asseco Resovia Rzeszów,Środkowy,203,102,350,,https://www.plusliga.pl/players/id/382/tour/47.html
