season,player_name,birth_date,team,position,height_cm,weight_kg,spike_reach_cm,jersey_number,player_url
2012-2013,Alek Achrem,12.03.1983,Asseco Resovia Rzeszów,Przyjmujący,194,89,340,,https://www.plusliga.pl/players/id/74/tour/17.html
2012-2013,Zbigniew Bartman,04.05.1987,Asseco Resovia Rzeszów,Atakujący,198,97,363,,https://www.plusliga.pl/players/id/2446/tour/17.html
2012-2013,Rafał Buszek,28.04.1987,Asseco Resovia Rzeszów,Przyjmujący,196,88,345,,https://www.plusliga.pl/players/id/2065/tour/17.html
2012-2013,Maciej Dobrowolski,19.03.1977,Asseco Resovia Rzeszów,Rozgrywający,190,86,326,,https://www.plusliga.pl/players/id/1320/tour/17.html
2012-2013,Wojciech Grzyb,04.01.1981,Asseco Resovia Rzeszów,Środkowy,205,105,355,,https://www.plusliga.pl/players/id/2407/tour/17.html
2012-2013,Krzysztof Ignaczak,15.05.1978,Asseco Resovia Rzeszów,Libero,188,86,336,,https://www.plusliga.pl/players/id/1216/tour/17.html
2012-2013,Grzegorz Kosok,02.03.1986,Asseco Resovia Rzeszów,Środkowy,205,95,350,,https://www.plusliga.pl/players/id/675/tour/17.html
2012-2013,Nikola Kovacević,14.02.1983,Asseco Resovia Rzeszów,Przyjmujący,191,80,345,,https://www.plusliga.pl/players/id/1835/tour/17.html
2012-2013,Paul Michael Lotman,03.11.1985,Asseco Resovia Rzeszów,Przyjmujący,200,99,345,,https://www.plusliga.pl/players/id/1922/tour/17.html
2012-2013,Piotr Nowakowski,18.12.1987,Asseco Resovia Rzeszów,Środkowy,205,101,360,,https://www.plusliga.pl/players/id/2014/tour/17.html
2012-2013,Łukasz Perłowski,03.04.1984,Asseco Resovia Rzeszów,Środkowy,204,95,353,,https://www.plusliga.pl/players/id/1296/tour/17.html
2012-2013,Jochen Schoeps,08.10.1983,Asseco Resovia Rzeszów,Atakujący,200,103,356,,https://www.plusliga.pl/players/id/930/tour/17.html
2012-2013,Lukas Tichacek,12.01.1982,Asseco Resovia Rzeszów,Rozgrywający,193,95,335,,https://www.plusliga.pl/players/id/1273/tour/17.html
2012-2013,Jakub Woś,09.03.1993,Asseco Resovia Rzeszów,Libero,182,80,329,,https://www.plusliga.pl/players/id/847/tour/17.html
2012-2013,Paweł Adamajtis,30.08.1990,AZS Politechnika Warszawska,Atakujący,199,91,360,,https://www.plusliga.pl/players/id/1947/tour/17.html
2012-2013,Dawid Dryja,21.07.1992,AZS Politechnika Warszawska,Środkowy,201,96,355,,https://www.plusliga.pl/players/id/467/tour/17.html
2012-2013,Fabian Drzyzga,03.01.1990,AZS Politechnika Warszawska,Rozgrywający,196,95,343,,https://www.plusliga.pl/players/id/602/tour/17.html
2012-2013,Marcin Nowak,17.10.1975,AZS Politechnika Warszawska,Środkowy,215,110,350,,https://www.plusliga.pl/players/id/1464/tour/17.html
2012-2013,Maciej Olenderek,16.10.1992,AZS Politechnika Warszawska,Libero,178,80,0,,https://www.plusliga.pl/players/id/1339/tour/17.html
2012-2013,Maciej Pawliński,02.02.1983,AZS Politechnika Warszawska,Przyjmujący,193,93,340,,https://www.plusliga.pl/players/id/1343/tour/17.html
2012-2013,Michał Potera,06.03.1988,AZS Politechnika Warszawska,Libero,183,79,310,,https://www.plusliga.pl/players/id/1707/tour/17.html
2012-2013,Paweł Siezieniewski,27.12.1981,AZS Politechnika Warszawska,Przyjmujący,199,93,345,,https://www.plusliga.pl/players/id/1967/tour/17.html
2012-2013,Przemysław Smoliński,27.11.1992,AZS Politechnika Warszawska,Środkowy,201,95,345,,https://www.plusliga.pl/players/id/2039/tour/17.html
2012-2013,Nemanja Stefanović,12.02.1989,AZS Politechnika Warszawska,Rozgrywający,200,90,345,,https://www.plusliga.pl/players/id/1818/tour/17.html
