team
1044 - GWARDIA WROCŁAW
AKS RESOVIA RZESZÓW
Aluron CMC Warta Zawiercie
Aluron Virtu CMC Zawiercie
Aluron Virtu Warta Zawiercie
Asseco Resovia
Asseco Resovia Rzeszów
ASSECO RESOVIA S.S.A.
AZS Częstochowa
AZS POLITECHNIKA WARSZAWA
AZS Politechnika Warszawska
AZS PWSZ NYSA
AZS UWM Olsztyn
Barkom Każany Lwów
BBTS Bielsko-Biała
BBTS SIATKARZ ORIGINAL BIELSKO-BIAŁA
BKS Visła Bydgoszcz
BKSCh Delecta Bydgoszcz
BOGDANKA LUK Lublin
BOT SKRA BEŁCHATÓW
Cerrad Czarni Radom
Cerrad Enea Czarni Radom
Chemik Bydgoszcz
Cuprum Lubin
Cuprum Stilon Gorzów
Dafi Społem Kielce
Delecta Bydgoszcz
Domex Tytan AZS Częstochowa
Effector Kielce
EKS SKRA BEŁCHATÓW
Enea Czarni Radom
Espadon Szczecin
Exact Systems Hemarpol Częstochowa
Fart Kielce
GALAXIA JURAJSKA AZS BANK CZĘSTOCHOWA
GALAXIA PAMAPOL KAFFEE AZS CZĘSTOCHOWA
GALAXIA STARTER BANK CZĘSTOCHOWA AZS
GKS Katowice
Grupa Azoty ZAKSA Kędzierzyn-Koźle
GTPS GORZÓW WIELKOPOLSKI
HEFRA - GWARDIA WROCŁAW
Indykpol AZS Olsztyn
Indykpol AZS UWM Olsztyn
IVETT JASTRZĘBIE BORYNIA
J.W. CONSTRUCTION AZS POLITECHNIKA WARSZAWSKA
J.W. CONSTRUCTION OSRAM AZS POLITECHNIKA WARSZAWSKA
J.W.Construction OSRAM AZS Politechnika Warszawska
Jadar Radom
Jadar Sport S.A. Radom
JASTRZĘBIE BORYNIA
Jastrzębski Węgiel
JASTRZĘBSKI WĘGIEL SSA
JSW Jastrzębski Węgiel
K.P. POLSKA ENERGIA
KAZIMIERZ PŁOMIEŃ SOSNOWIEC
KGHM Cuprum Lubin
KP - POLSKA ENERGIA SSA SOSNOWIEC
KS AZS CZĘSTOCHOWA SSA
KS CITROEN NYSA
KS GWARDIA WROCŁAW
KS IVETT JASTRZĘBIE BORYNIA
KS JADAR RADOM
KS Jastrzębski Węgiel S.A.
KS MORZE
KS MORZE SZCZECIN
KS NYSA
KS PZU AZS OLSZTYN
LOTOS Trefl Gdańsk
LUK Lublin
MKS BANIMEX BĘDZIN
MKS Będzin
MLEKPOL AZS OLSZTYN
MORZE SZCZECIN
MOSTOSTAL - AZOTY KĘDZIERZYN-KOŹLE
MOSTOSTAL - AZOTY S.A. KĘDZIERZYN-KOŹLE
MOSTOSTAL - AZOTY SSA KĘDZIERZYN-KOŹLE
Neckermann AZS Politechnika Warszawska
NKS NTO NYSA
NKS NYSA
NORDEA CZARNI RADOM
Nowak-Mosty MKS Będzin
ONICO AZS Politechnika Warszawska
ONICO Warszawa
PAMAPOL AZS CZĘSTOCHOWA
PAMAPOL DOMEX AZS CZĘSTOCHOWA
Pamapol Siatkarz Wieluń
Pamapol Wielton Wieluń
PGE GiEK SKRA Bełchatów
PGE Projekt Warszawa
PGE Skra Bełchatów
Projekt Warszawa
PSG Stal Nysa
PZU AZS OLSZTYN
PŁOMIEŃ SA SOSNOWIEC
RESOVIA SSA RZESZÓW
SK GÓRNIK RADLIN
SKRA BEŁCHATÓW
Stal Nysa
Steam Hemarpol Norwid Częstochowa
STILON MERYL GORZÓW
Stocznia Szczecin
STOLARKA WOŁOMIN
Transfer Bydgoszcz
Trefl Gdańsk
TS STOLARKA WOŁOMIN
Tytan AZS Częstochowa
VERVA Warszawa ORLEN Paliwa
WARKA STRONG CZARNI RADOM
WKRĘT - MET DOMEX AZS CZĘSTOCHOWA
Wkręt-met AZS Częstochowa
ZAK SA KĘDZIERZYN-KOŹLE
ZAKSA Kędzierzyn-Koźle
Łuczniczka Bydgoszcz
Ślepsk Malow Suwałki
